Lake,Date,Time,Depth (m),Temperature (Deg C),pH,DO (% Saturation),DO (mg/L),Specific Conductivity (uS/cm),Turbidity (NTU),TDS (mg/L)
Easter Lake,5/29/2019,13:56,3,15.86,7.47,32.28,3.19,611.53,1.94,397.44
Easter Lake,5/29/2019,13:56,3.5,15.33,7.44,26.84,2.68,650.12,1.58,422.67
Easter Lake,5/29/2019,13:56,4,14.51,7.32,16.22,1.64,836.9,2.66,544.1
Easter Lake,5/29/2019,13:56,4.5,12.49,7.25,10.23,1.08,1085.43,6.26,705.5
Easter Lake,5/29/2019,13:56,5,11.15,7.08,6.21,0.68,1425.41,7.31,926.57
Easter Lake,5/29/2019,13:56,5.5,9.81,7.05,3.49,0.39,1685.45,9.21,1095.56
Eldred Sherwood Lake,6/5/2019,9:26,0,20.34,7.69,113.54,10.24,587.27,0.91,381.7
Eldred Sherwood Lake,6/5/2019,9:26,0.5,19.33,7.53,115.54,10.63,604.79,0.95,393.19
Eldred Sherwood Lake,6/5/2019,9:26,1,17.73,7.3,118.41,11.24,641.1,1.24,416.75
Eldred Sherwood Lake,6/5/2019,9:26,1.5,16.87,7.22,99.3,9.6,648.47,1.47,421.57
Eldred Sherwood Lake,6/5/2019,9:26,2,16.06,7.09,86.45,8.5,646.61,1.51,420.13
Eldred Sherwood Lake,6/5/2019,9:26,2.5,15.09,7.05,75.57,7.59,653.63,1.4,424.73
Eldred Sherwood Lake,6/5/2019,9:26,3,14.37,7.02,59.02,6.02,662.44,1.27,430.69
Eldred Sherwood Lake,6/5/2019,9:26,3.5,13.33,6.99,30.6,3.19,662.57,1.36,430.6
Eldred Sherwood Lake,6/5/2019,9:26,4,12.19,6.97,19.7,2.11,659.92,1.66,429.08
Eldred Sherwood Lake,6/5/2019,9:26,4.5,11.41,6.96,21.42,2.34,660.77,2.82,429.67
Eldred Sherwood Lake,6/5/2019,9:26,5,10.5,6.95,22.63,2.52,669.01,9.84,434.93
Eldred Sherwood Lake,6/5/2019,9:26,5.5,9.65,6.81,15.5,1.76,687.52,9.19,446.78
Five Island Lake,6/26/2019,10:15,0,16.67,8.33,101.54,9.88,343.19,20.92,223.14
Five Island Lake,6/26/2019,10:15,0.5,16.52,8.36,104.58,10.19,486.21,36.82,316
Five Island Lake,6/26/2019,10:15,1,16.24,8.36,107.45,10.54,483.47,42.85,314.27
Five Island Lake,6/26/2019,10:15,1.5,16.11,8.33,106.63,10.49,482.95,42.91,313.83
Five Island Lake,6/26/2019,10:15,2,16.01,8.27,103.02,10.15,486.84,41.14,316.37
Five Island Lake,6/26/2019,10:15,2.5,16,8.23,100.59,9.92,488.68,38.9,317.75
Five Island Lake,6/26/2019,10:15,3,15.99,8.19,99.16,9.78,491.18,40.21,319.3
Five Island Lake,6/26/2019,10:15,3.5,15.94,8.15,98.1,9.68,494.97,39.63,321.76
Five Island Lake,6/26/2019,10:15,4,15.91,8.13,97.19,9.6,498.62,38.79,324.15
Five Island Lake,6/26/2019,10:15,4.5,15.88,8.13,96.18,9.5,500.63,34.81,325.44
Five Island Lake,6/26/2019,10:15,5,15.81,8.13,94.1,9.31,502.02,35.28,326.32
Five Island Lake,6/26/2019,10:15,5.5,15.71,8.11,91.93,9.12,504.98,34.41,328.29
Five Island Lake,6/26/2019,10:15,6,15.67,8.1,90.21,8.95,505.41,34.6,328.56
Fogle Lake S.W.A.,5/30/2019,9:37,0,23.09,7.88,100.81,8.64,159.42,6.49,103.62
Fogle Lake S.W.A.,5/30/2019,9:37,0.5,23.39,8.17,104.31,8.88,204.76,3.33,133
Fogle Lake S.W.A.,5/30/2019,9:37,1,23.35,8.15,104.19,8.87,204.83,3.29,133
Fogle Lake S.W.A.,5/30/2019,9:37,1.5,23.33,8.14,103.76,8.84,204.85,3.29,133
Fogle Lake S.W.A.,5/30/2019,9:37,2,23.29,8.13,103.2,8.8,204.96,3.23,133
Fogle Lake S.W.A.,5/30/2019,9:37,2.5,21.97,8.07,96.77,8.43,208.93,3.65,135.6
Fogle Lake S.W.A.,5/30/2019,9:37,3,17.29,7.52,39.04,3.73,203.8,7.45,132.45
Fogle Lake S.W.A.,5/30/2019,9:37,3.5,15.94,7.25,13.16,1.3,207.67,7.83,134.98
Fogle Lake S.W.A.,5/30/2019,9:37,4,15.26,7.13,7.45,0.75,214.12,7.88,139.17
Fogle Lake S.W.A.,5/30/2019,9:37,4.5,14.78,7.08,5.36,0.54,220.64,6.99,143.41
Fogle Lake S.W.A.,5/30/2019,9:37,5,14.4,7.06,4.16,0.42,227.96,7.14,148.17
Fogle Lake S.W.A.,5/30/2019,9:37,5.5,14.05,7.06,3.55,0.36,235.99,7.83,153.39
Fogle Lake S.W.A.,5/30/2019,9:37,6,13.71,7.04,3.12,0.32,247.48,9.52,160.87
George Wyth Lake,6/10/2019,13:58,0,24.36,8.61,133.16,11.12,280.81,15.22,182.38
George Wyth Lake,6/10/2019,13:58,0.5,23.18,8.67,146.9,12.53,392.53,15.64,255
George Wyth Lake,6/10/2019,13:58,1,22.33,8.67,152.7,13.25,395.34,15.75,257
George Wyth Lake,6/10/2019,13:58,1.5,22.22,8.67,157.98,13.74,393.48,15.54,255.6
George Wyth Lake,6/10/2019,13:58,2,21.88,8.25,143.55,12.56,393.92,14.52,256
George Wyth Lake,6/10/2019,13:58,2.5,21.31,7.86,115.94,10.25,401.44,11.47,261
George Wyth Lake,6/10/2019,13:58,3,20.68,7.7,96.38,8.63,414.3,7.59,269.2
George Wyth Lake,6/10/2019,13:58,3.5,19.99,7.56,74.17,6.73,431.44,3.98,280.57
George Wyth Lake,6/10/2019,13:58,4,18.15,7.45,49.61,4.64,460.17,1.79,299.14
George Wyth Lake,6/10/2019,13:58,4.5,16.81,7.41,26.56,2.56,482.35,1.16,313.5
George Wyth Lake,6/10/2019,13:58,5,14.56,7.33,15.52,1.57,511.31,1.66,332.33
Green Belt Lake,6/25/2019,15:59,0,23.44,8.24,117.62,9.99,608.96,3.12,395.9
Green Belt Lake,6/25/2019,15:59,0.5,23.45,8.3,128.4,10.9,754.46,3.07,490.5
Green Belt Lake,6/25/2019,15:59,1,23.44,8.32,131.2,11.14,755.94,3.06,491.38
Green Belt Lake,6/25/2019,15:59,1.5,23.41,8.34,134.36,11.41,756.81,3.09,492
Green Belt Lake,6/25/2019,15:59,2,23.24,8.32,134.39,11.45,758.77,3.23,493.14
Green Belt Lake,6/25/2019,15:59,2.5,22.78,8.15,125.93,10.81,764.21,3.3,496.86
Green Belt Lake,6/25/2019,15:59,3,21.39,8.02,114.27,10.08,784.53,3.38,510
Green Belt Lake,6/25/2019,15:59,3.5,20.5,7.78,92.82,8.33,796.8,3.3,517.83
Green Belt Lake,6/25/2019,15:59,4,19.53,7.55,65.04,5.93,808.9,2.98,525.88
Green Belt Lake,6/25/2019,15:59,4.5,18.81,7.48,43.99,4.08,816.63,2.75,530.88
Green Belt Lake,6/25/2019,15:59,5,17.7,7.36,27.14,2.57,829.54,2.95,539.1
Green Belt Lake,6/25/2019,15:59,5.5,15.28,7.21,14.73,1.47,862.04,5.23,560.56
Green Castle Lake,6/26/2019,9:17,0,23.06,8.83,128.62,11.02,269.88,-1.61,175.4
Green Castle Lake,6/26/2019,9:17,0.5,23.08,8.84,135.57,11.6,271.77,-2.25,176.6
Green Castle Lake,6/26/2019,9:17,1,22.91,8.84,144.44,12.4,273.03,-2.39,177.47
Green Castle Lake,6/26/2019,9:17,1.5,22.3,8.71,139.54,12.12,279.61,-2.33,181.76
Green Castle Lake,6/26/2019,9:17,2,21.69,8.31,116.51,10.23,297.47,-2.22,193.38
Green Castle Lake,6/26/2019,9:17,2.5,20.73,7.77,93.28,8.35,337.34,-2.11,219.18
Green Castle Lake,6/26/2019,9:17,3,19.61,7.38,61.01,5.58,392.66,-2.01,255.21
Green Castle Lake,6/26/2019,9:17,3.5,18.14,7.19,36.17,3.4,427.04,-1.36,277.59
Green Castle Lake,6/26/2019,9:17,4,16.86,7.12,25.94,2.51,446.41,8.05,290.19
Green Castle Lake,6/26/2019,9:17,4.5,15.46,7.02,15.97,1.59,465.26,12.98,302.45
Green Castle Lake,6/26/2019,9:17,5,14.11,6.91,9.45,0.97,478.09,9.29,310.79
Green Castle Lake,6/26/2019,9:17,5.5,13.01,6.88,7.13,0.75,484.02,6.58,314.61
Green Castle Lake,6/26/2019,9:17,6,12.05,6.91,5.81,0.62,499.29,7.17,324.5
Green Castle Lake,6/26/2019,9:17,6.5,11.4,6.94,4.89,0.53,533.08,5.02,346.53
Green Valley Lake,6/18/2019,14:30,0,21.18,8.38,104.26,9.28,123.92,13.96,80.52
Green Valley Lake,6/18/2019,14:30,0.5,22.28,8.95,112.06,9.74,189.4,10.68,123
Green Valley Lake,6/18/2019,14:30,1,22.29,8.96,114.84,9.98,189.62,11.06,123
Green Valley Lake,6/18/2019,14:30,1.5,22.25,8.95,114.53,9.96,190.39,10.46,123.93
Green Valley Lake,6/18/2019,14:30,2,22.06,8.85,104.16,9.09,193.64,8.08,125.84
Green Valley Lake,6/18/2019,14:30,2.5,21.48,8.49,81.6,7.2,204.81,5.63,133.13
Green Valley Lake,6/18/2019,14:30,3,20.71,8.15,59.33,5.31,214.9,4.96,139.71
Green Valley Lake,6/18/2019,14:30,3.5,20.37,8,48.12,4.34,220.07,4.92,143.02
Green Valley Lake,6/18/2019,14:30,4,19.94,7.77,32.2,2.93,224.75,5.42,146.07
Green Valley Lake,6/18/2019,14:30,4.5,18.72,7.56,14.96,1.39,239.11,8.75,155.43
Green Valley Lake,6/18/2019,14:30,5,17.45,7.49,9.01,0.86,247.09,12.28,160.69
Green Valley Lake,6/18/2019,14:30,5.5,16.74,7.4,6.49,0.63,246.86,14.9,160.41
Green Valley Lake,6/18/2019,14:30,6,16.27,7.23,5.26,0.52,251.15,17.79,163.23
Greenfield Lake,6/11/2019,11:05,0,21.29,8.5,102.66,9.1,293.42,7.48,191
Greenfield Lake,6/11/2019,11:05,0.5,21.77,8.52,104.63,9.19,290.68,3.8,188.77
Greenfield Lake,6/11/2019,11:05,1,21.94,8.54,106.29,9.3,289.75,2.85,188
Greenfield Lake,6/11/2019,11:05,1.5,21.94,8.55,107.44,9.39,289.97,2.77,188.5
Greenfield Lake,6/11/2019,11:05,2,21.94,8.57,108.45,9.48,290,2.65,188.93
Greenfield Lake,6/11/2019,11:05,2.5,21.94,8.58,109.18,9.54,290.01,2.68,189
Greenfield Lake,6/11/2019,11:05,3,20.98,8.32,86.79,7.69,298.17,3.92,193.75
Greenfield Lake,6/11/2019,11:05,3.5,18.31,7.99,42.5,3.97,321.81,4.69,209.33
Greenfield Lake,6/11/2019,11:05,4,16.39,7.83,22.79,2.23,324.88,6.13,211.15
Greenfield Lake,6/11/2019,11:05,4.5,15.64,7.71,11.94,1.18,315.4,8.9,204.77
Greenfield Lake,6/11/2019,11:05,5,15.24,7.63,7.93,0.8,314.82,11.12,204.5
Greenfield Lake,6/11/2019,11:05,5.5,14.91,7.6,4.76,0.48,317.58,13.54,206.42
Greenfield Lake,6/11/2019,11:05,6,14.46,7.57,3.21,0.32,321.74,15.02,209.09
Hannen Lake,6/11/2019,8:39,0,23.14,8.66,149.25,12.76,254.75,9.18,165.75
Hannen Lake,6/11/2019,8:39,0.5,22.89,8.62,165.9,14.25,257.68,10.31,167.5
Hannen Lake,6/11/2019,8:39,1,22.29,8.34,145.87,12.66,269.72,8.97,175.38
Hannen Lake,6/11/2019,8:39,1.5,21.85,8.06,96.28,8.43,290.5,5.93,188.71
Hannen Lake,6/11/2019,8:39,2,21.56,7.72,52.77,4.65,301.87,2.41,196.26
Hannen Lake,6/11/2019,8:39,2.5,21.31,7.53,26.06,2.31,311.01,1.3,202.12
Hannen Lake,6/11/2019,8:39,3,20.51,7.38,14.84,1.33,319.42,1.96,207.64
Hannen Lake,6/11/2019,8:39,3.5,17.58,7.17,9.63,0.91,348.37,3.69,226.53
Hannen Lake,6/11/2019,8:39,4,16.03,7,6.62,0.65,366.56,3.4,238.29
Hannen Lake,6/11/2019,8:39,4.5,14.87,6.91,5.23,0.53,377.06,2.99,245.06
Hannen Lake,6/11/2019,8:39,5,13.89,6.74,4.35,0.45,395.97,2.19,257.32
Hawthorne Lake,6/18/2019,9:55,0,24.12,8.99,144.34,12.12,206.67,9.79,134
Hawthorne Lake,6/18/2019,9:55,0.5,24.17,9.01,151.82,12.74,206.84,9.51,134.17
Hawthorne Lake,6/18/2019,9:55,1,24.17,9.03,153.75,12.9,207.05,9.41,135
Hawthorne Lake,6/18/2019,9:55,1.5,24.12,9.03,152.64,12.81,207.36,8.56,135
Hawthorne Lake,6/18/2019,9:55,2,23.33,8.69,121.74,10.36,210.92,3.75,137.13
Hawthorne Lake,6/18/2019,9:55,2.5,22.36,8.41,91.28,7.92,215.03,1.64,139.7
Hawthorne Lake,6/18/2019,9:55,3,21.26,8.1,61.41,5.43,218.87,1.96,142.25
Hawthorne Lake,6/18/2019,9:55,3.5,19.72,7.78,30.67,2.8,224.45,2.79,145.89
Hawthorne Lake,6/18/2019,9:55,4,18.47,7.54,11.98,1.12,227.3,4.27,147.76
Hawthorne Lake,6/18/2019,9:55,4.5,17.32,7.44,7.39,0.71,230.47,5.69,149.73
Hawthorne Lake,6/18/2019,9:55,5,16.41,7.38,4.9,0.48,233.05,6.76,151.55
Hawthorne Lake,6/18/2019,9:55,5.5,15.63,7.31,3.54,0.35,237.55,7.52,154.36
Hawthorne Lake,6/18/2019,9:55,6,15.17,7.24,2.64,0.26,242.53,8.22,157.65
Hawthorne Lake,6/18/2019,9:55,6.5,14.9,7.17,2.03,0.21,248.35,7.44,161.46
Hawthorne Lake,6/18/2019,9:55,7,14.69,7.11,1.65,0.17,253.97,7.22,165.1
Hawthorne Lake,6/18/2019,9:55,7.5,14.53,7.05,1.36,0.14,260.35,7.69,169.25
Hooper Area Pond,6/19/2019,9:58,0,21.67,8.82,122.8,10.8,227.57,26.13,148
Hooper Area Pond,6/19/2019,9:58,0.5,21.57,8.84,127.32,11.22,228.03,26.45,148
Hooper Area Pond,6/19/2019,9:58,1,21.37,8.82,127.3,11.26,228.71,26.52,148.89
Hooper Area Pond,6/19/2019,9:58,1.5,17.56,8.27,84.64,8.03,239.37,51.44,155.67
Hooper Area Pond,6/19/2019,9:58,2,16.18,7.81,52.22,5.13,235.74,53.82,153.22
Hooper Area Pond,6/19/2019,9:58,2.5,15.62,7.61,43.34,4.31,242.64,44.88,157.6
Hooper Area Pond,6/19/2019,9:58,3,15.28,7.55,36.79,3.69,255.08,36.02,165.5
Hooper Area Pond,6/19/2019,9:58,3.5,14.92,7.5,30.52,3.08,272.1,30.62,176.91
Hooper Area Pond,6/19/2019,9:58,4,14.52,7.43,21.02,2.14,287.68,31.04,186.92
Hooper Area Pond,6/19/2019,9:58,4.5,14.13,7.36,11.59,1.19,298.37,30.93,194
Hooper Area Pond,6/19/2019,9:58,5,13.88,7.32,7.33,0.76,306.4,31.87,199.25
Indian Lake,6/4/2019,11:15,0,24.56,7.93,103,8.58,227.98,9.32,148
Indian Lake,6/4/2019,11:15,0.5,24.48,7.93,103.21,8.61,227.68,9.37,148
Indian Lake,6/4/2019,11:15,1,23.96,7.9,99.55,8.37,227.82,10.15,148
Indian Lake,6/4/2019,11:15,1.5,21.58,7.62,67.7,5.92,229.1,13.23,149
Indian Lake,6/4/2019,11:15,2,19.75,7.27,21.53,1.96,215.26,26.19,139.88
Indian Lake,6/4/2019,11:15,2.5,17.77,6.96,13.49,1.28,226.1,30.4,147
Ingham Lake,6/3/2019,13:21,0,17.29,7.99,87.88,8.42,329.61,7.45,214.18
Ingham Lake,6/3/2019,13:21,0.5,17.08,8.13,82.7,7.97,397.44,2.75,258.38
Ingham Lake,6/3/2019,13:21,1,17.03,8.07,80.11,7.73,396.45,2.84,258
Ingham Lake,6/3/2019,13:21,1.5,17,8.02,78.9,7.62,396.36,2.91,258
Ingham Lake,6/3/2019,13:21,2,16.94,7.99,78.08,7.55,396.17,3.15,257.64
Ingham Lake,6/3/2019,13:21,2.5,16.86,7.97,77.02,7.46,396.52,4.01,258
Kent Park Lake,5/30/2019,11:19,0,23.73,7.99,99.63,8.43,211.2,3.13,137.42
Kent Park Lake,5/30/2019,11:19,0.5,23.26,8.21,104.75,8.93,311.87,1.02,202.67
Kent Park Lake,5/30/2019,11:19,1,23.2,8.22,105.96,9.05,309.7,0.18,201.38
Kent Park Lake,5/30/2019,11:19,1.5,23.08,8.23,106.6,9.12,308.25,-0.27,200
Kent Park Lake,5/30/2019,11:19,2,22.82,8.23,103.58,8.9,308.53,-0.34,200.67
Kent Park Lake,5/30/2019,11:19,2.5,22.44,8.1,95.07,8.23,309.5,-0.36,201.17
Kent Park Lake,5/30/2019,11:19,3,20.46,7.84,67.3,6.01,322.2,-0.15,209.2
Kent Park Lake,5/30/2019,11:19,3.5,17.96,7.63,42.02,3.94,340.98,0.36,221.6
Kent Park Lake,5/30/2019,11:19,4,17.32,7.44,23.54,2.26,350.65,7.77,227.8
Lacey Keosauqua Park Lake,6/17/2019,14:10,0,24.47,7.87,105.08,8.76,186.78,92.35,121
Lacey Keosauqua Park Lake,6/17/2019,14:10,0.5,24.27,7.72,104.45,8.74,186.31,91.51,121
Lacey Keosauqua Park Lake,6/17/2019,14:10,1,19.35,7.63,89.1,8.15,195.7,167.51,127.38
Lacey Keosauqua Park Lake,6/17/2019,14:10,1.5,16.28,7.46,62.75,6.15,165.31,190.55,107.46
Lacey Keosauqua Park Lake,6/17/2019,14:10,2,15.26,7.3,46.68,4.67,165.93,223.52,107.86
Lacey Keosauqua Park Lake,6/17/2019,14:10,2.5,14.58,7.21,36.55,3.72,174.63,230.67,113.56
Lacey Keosauqua Park Lake,6/17/2019,14:10,3,14.25,7.14,31.71,3.25,177.23,248.27,115.33
Lacey Keosauqua Park Lake,6/17/2019,14:10,3.5,14.08,7.09,27.9,2.87,177.79,258.22,115.64
Lacey Keosauqua Park Lake,6/17/2019,14:10,4,13.96,7.06,25.15,2.59,177.46,255.2,115.21
Lacey Keosauqua Park Lake,6/17/2019,14:10,4.5,13.82,7.02,22.82,2.36,178.93,239.7,116.31
Lacey Keosauqua Park Lake,6/17/2019,14:10,5,13.66,7,19.8,2.06,180.59,248.76,117.38
Lacey Keosauqua Park Lake,6/17/2019,14:10,5.5,13.53,6.99,17.06,1.78,180.95,248.84,118
Lacey Keosauqua Park Lake,6/17/2019,14:10,6,13.31,6.98,14.45,1.51,181.93,240.02,118.23
Lacey Keosauqua Park Lake,6/17/2019,14:10,6.5,13.15,6.97,10.73,1.12,183.34,241.2,119.08
Lacey Keosauqua Park Lake,6/17/2019,14:10,7,13.04,6.96,7.57,0.8,185.06,260.56,120.38
Lacey Keosauqua Park Lake,6/17/2019,14:10,7.5,12.93,6.95,6.4,0.67,186.77,300.25,121.33
Lake Ahquabi,6/3/2019,14:52,0,22.33,8.77,131.62,11.43,214.72,11.86,139.44
Lake Ahquabi,6/3/2019,14:52,0.5,21.94,8.87,145.69,12.74,241.31,15.75,157
Lake Ahquabi,6/3/2019,14:52,1,21.76,8.81,142.44,12.51,241.94,15.3,157.14
Lake Ahquabi,6/3/2019,14:52,1.5,21.63,8.65,132.16,11.63,242.8,15.2,158
Lake Ahquabi,6/3/2019,14:52,2,20.84,8.33,115.78,10.28,246.62,15.79,160.2
Lake Ahquabi,6/3/2019,14:52,2.5,18.66,7.96,66.51,6.19,250.85,19.61,163
Lake Ahquabi,6/3/2019,14:52,3,17.78,7.68,42.66,4.05,245.13,22.39,159.29
Lake Ahquabi,6/3/2019,14:52,3.5,17.31,7.63,37.52,3.6,245.34,20.77,159.5
Lake Ahquabi,6/3/2019,14:52,4,16.83,7.54,30.14,2.92,251.09,16.74,163.14
Lake Ahquabi,6/3/2019,14:52,4.5,16.35,7.46,19.35,1.89,260.56,12.79,169.45
Lake Ahquabi,6/3/2019,14:52,5,15.87,7.42,11.32,1.12,268.87,10.79,174.82
Lake Anita,6/4/2019,12:00,0,22.22,8.55,106.27,9.25,293.64,1.19,191
Lake Anita,6/4/2019,12:00,0.5,22.23,8.55,108.38,9.43,294.03,1.18,191
Lake Anita,6/4/2019,12:00,1,22.25,8.56,109.68,9.54,294.27,1.16,191
Lake Anita,6/4/2019,12:00,1.5,22.18,8.56,109.93,9.57,294.48,1.16,191
Lake Anita,6/4/2019,12:00,2,22.14,8.56,110.08,9.59,294.5,1.44,191
Lake Anita,6/4/2019,12:00,2.5,22.11,8.56,110.04,9.59,294.5,1.2,191
Lake Anita,6/4/2019,12:00,3,22.09,8.56,109.8,9.58,294.45,1.14,191
Lake Anita,6/4/2019,12:00,3.5,21.62,8.44,101.28,8.91,297.15,0.56,193.17
Lake Anita,6/4/2019,12:00,4,19.68,8.16,83.47,7.62,307.97,0.24,200.09
Lake Anita,6/4/2019,12:00,4.5,18.21,7.97,65.54,6.15,309.96,0.65,201.45
Lake Anita,6/4/2019,12:00,5,17.11,7.84,49.28,4.74,308.83,1.5,200.75
Lake Anita,6/4/2019,12:00,5.5,16.6,7.78,36.29,3.53,309.61,1.13,201.29
Lake Anita,6/4/2019,12:00,6,16.04,7.7,26.97,2.66,313.73,0.76,203.85
Lake Anita,6/4/2019,12:00,6.5,15.66,7.64,15.7,1.56,317.85,0.8,206.64
Lake Anita,6/4/2019,12:00,7,15.36,7.59,9.17,0.92,321.02,0.85,208.6
Lake Anita,6/4/2019,12:00,7.5,15.06,7.54,6.15,0.62,325.1,0.53,211.33
Lake Anita,6/4/2019,12:00,8,14.73,7.49,3.64,0.37,331.42,0.22,215.43
Lake Anita,6/4/2019,12:00,8.5,14.47,7.44,2.52,0.26,337.35,0.2,219.27
Lake Anita,6/4/2019,12:00,9,14.36,7.39,1.93,0.2,341.02,0.28,221.58
Lake Anita,6/4/2019,12:00,9.5,14.24,7.37,1.15,0.12,351.22,10.92,228.23
Lake Cornelia,6/11/2019,10:20,0,22.17,8.47,119.03,10.37,343.05,4.93,223
Lake Cornelia,6/11/2019,10:20,0.5,22.15,8.47,120.79,10.52,343.25,4.9,223
Lake Cornelia,6/11/2019,10:20,1,22.11,8.47,121.71,10.61,343.48,4.59,223
Lake Cornelia,6/11/2019,10:20,1.5,22.11,8.46,121.2,10.57,343.71,4.55,223
Lake Cornelia,6/11/2019,10:20,2,22.11,8.45,121.1,10.56,343.71,4.69,223
Lake Cornelia,6/11/2019,10:20,2.5,22.05,8.4,117.55,10.26,344.19,5.04,223.55
Lake Cornelia,6/11/2019,10:20,3,21.71,8.2,100.31,8.81,348.56,5.2,226.6
Lake Cornelia,6/11/2019,10:20,3.5,21.23,8.22,96.01,8.51,350.59,4.62,228
Lake Cornelia,6/11/2019,10:20,4,20.99,8.17,88.62,7.89,350.47,4.6,228
Lake Cornelia,6/11/2019,10:20,4.5,20.77,7.98,75.95,6.79,352.98,5.02,229.5
Lake Cornelia,6/11/2019,10:20,5,20.64,7.92,65.95,5.91,355.95,5.36,231.5
Lake Darling,6/26/2019,11:36,0,22.42,7.87,94.54,8.2,119.08,6.54,77.38
Lake Darling,6/26/2019,11:36,0.5,22.68,8.05,82.17,7.09,229,5.91,148.73
Lake Darling,6/26/2019,11:36,1,22.6,8.04,78.69,6.8,227.81,5.28,148
Lake Darling,6/26/2019,11:36,1.5,22.44,8.03,76.54,6.63,227.25,5.35,148
Lake Darling,6/26/2019,11:36,2,22.38,8.02,75.06,6.51,226.87,5.41,147.3
Lake Darling,6/26/2019,11:36,2.5,22.04,7.96,69.51,6.06,227.65,5.49,147.92
Lake Darling,6/26/2019,11:36,3,21.07,7.8,58.6,5.21,229.96,6.41,149.55
Lake Darling,6/26/2019,11:36,3.5,20.12,7.6,38.24,3.46,230.7,8.56,150
Lake Darling,6/26/2019,11:36,4,19.11,7.38,17.35,1.6,228.46,12.54,148.5
Lake Darling,6/26/2019,11:36,4.5,17.28,7.29,9.09,0.87,230.6,18.38,150
Lake Darling,6/26/2019,11:36,5,16.42,7.15,6.9,0.67,231.05,23.57,150.27
Lake Darling,6/26/2019,11:36,5.5,15.89,7.12,5,0.5,237.83,26.68,154.5
Lake Hendricks,6/17/2019,11:55,0,22,8.71,124.38,10.87,282.54,8.84,183.67
Lake Hendricks,6/17/2019,11:55,0.5,21.88,8.72,138.11,12.09,280.16,9.09,182.15
Lake Hendricks,6/17/2019,11:55,1,21.46,8.68,142.63,12.59,281.48,11.39,182.95
Lake Hendricks,6/17/2019,11:55,1.5,21.03,8.31,124.09,11.04,288.94,6.76,187.87
Lake Hendricks,6/17/2019,11:55,2,20.51,7.92,86.25,7.75,308.43,6.04,200.44
Lake Hendricks,6/17/2019,11:55,2.5,19.85,7.64,51.73,4.71,322.08,3.22,209.35
Lake Hendricks,6/17/2019,11:55,3,18.58,7.44,25.36,2.36,344.33,3.63,223.81
Lake Hendricks,6/17/2019,11:55,3.5,16.4,7.24,14.78,1.44,377.92,5.57,245.47
Lake Icaria,6/25/2019,11:26,0,23.08,8.61,97.08,8.31,156.56,14.23,101.67
Lake Icaria,6/25/2019,11:26,0.5,23.82,8.73,116.41,9.83,211.75,12.2,138
Lake Icaria,6/25/2019,11:26,1,23.83,8.76,121.61,10.26,212.21,12.44,138
Lake Icaria,6/25/2019,11:26,1.5,22.23,8.38,103.3,8.95,221.51,12.14,143.91
Lake Icaria,6/25/2019,11:26,2,20.92,7.81,68.27,6.09,233.34,10.66,151.66
Lake Icaria,6/25/2019,11:26,2.5,20.38,7.62,54.79,4.94,234.82,10.97,152.63
Lake Icaria,6/25/2019,11:26,3,19.94,7.48,45.94,4.18,235.81,11.16,153
Lake Icaria,6/25/2019,11:26,3.5,19.31,7.4,35.69,3.28,235.82,10.85,153
Lake Icaria,6/25/2019,11:26,4,18.43,7.33,27.66,2.59,235.07,11.83,152.97
Lake Icaria,6/25/2019,11:26,4.5,17.95,7.26,20.56,1.95,233.71,15.91,151.79
Lake Icaria,6/25/2019,11:26,5,17.47,7.21,15.38,1.47,230.61,19.79,149.89
Lake Icaria,6/25/2019,11:26,5.5,17.16,7.18,11.69,1.13,225.86,26.43,146.75
Lake Icaria,6/25/2019,11:26,6,16.88,7.14,7.29,0.71,224.39,36.1,145.88
Lake Icaria,6/25/2019,11:26,6.5,16.54,7.1,4.58,0.45,223.37,48.25,145
Lake Icaria,6/25/2019,11:26,7,16.39,7.08,3.53,0.35,224.48,52.69,145.91
Lake Icaria,6/25/2019,11:26,7.5,16.32,7.07,3.11,0.3,225.78,52.69,146.9
Iowa Lake,6/10/2019,15:53,0,23.17,8.95,137.68,11.76,231.3,20.58,150
Iowa Lake,6/10/2019,15:53,0.5,23.12,8.98,157.93,13.51,230.65,19.64,150
Iowa Lake,6/10/2019,15:53,1,22.92,8.93,167.85,14.41,230.7,3.92,150.08
Iowa Lake,6/10/2019,15:53,1.5,22.22,8.64,143.42,12.47,234.59,0.65,152.5
Iowa Lake,6/10/2019,15:53,2,21.54,8.19,112.43,9.9,240.01,-0.81,156
Iowa Lake,6/10/2019,15:53,2.5,20.88,7.81,80.81,7.21,245.93,-0.81,159.8
Iowa Lake,6/10/2019,15:53,3,20.16,7.48,50.43,4.56,251.66,-0.84,163.6
Iowa Lake,6/10/2019,15:53,3.5,18.9,7.26,25.13,2.33,258.13,-0.57,167.8
Iowa Lake,6/10/2019,15:53,4,17.67,7.13,14.45,1.38,261.33,0.05,169.85
Iowa Lake,6/10/2019,15:53,4.5,16.15,7.06,10.8,1.06,267.36,1.65,173.83
Iowa Lake,6/10/2019,15:53,5,15.16,6.97,8.01,0.8,273.04,2.58,177.42
Iowa Lake,6/10/2019,15:53,5.5,14.69,6.91,6.51,0.66,275.76,2.92,179.2
Iowa Lake,6/10/2019,15:53,6,14.37,6.85,5.28,0.54,280.83,3.1,182.56
