year,sample_id,zoop_id,program,lake_name,lake_id,depth,doy,year_frac,secchi_m,secchi_flag,tss_mgL,tss_flag,vss_mgL,vss_flag,iss_mgL,iss_flag,tp_ugL,tp_flag,srp_ugL,srp_flag,tn_mgL,tn_flag,nox_mgL,nox_flag,chl_ugL,chl_flag,phyco_ugL,phyco_flag
2020,P2011314801E,P20113148,Carp,Storm,113,Epi,148,2020.405479,1.45,,6.8,,3.6,,3.2,,41.95,,22.75,,0.83,,0.43,,1.74,,55.01,
2020,P2011316401E,P20113164,Carp,Storm,113,Epi,164,2020.449315,0.9,,4,,6,,0,a,48.85,,23.75,,0.79,,0.64,,1.6,,35.77,
2020,P2011317501E,P20113175,Carp,Storm,113,Epi,175,2020.479452,0.45,,14.5,,7,,7.5,,82.45,,39.8,,1.23,,0.87,,8.49,,390.82,
2020,A2011319001E,A2011319001E,ALM,Storm,113,Epi,190,2020.520548,0.6,,10.8,,10.8,,0,a,69.8,,8.5,,0.4,,0.02,a,15.6,,43,
2020,P2011319201E,P20113192,Carp,Storm,113,Epi,192,2020.526027,0.6,,9,,2.5,,6.5,,82.7,,16.25,,0.36,,0.16,,32.7,,112.31,
2020,P2011320501E,P20113205,Carp,Storm,113,Epi,205,2020.561644,0.5,,18.5,,5,,13.5,,113.15,,63.8,,0.1,a,0.07,,10.72,,171.58,
2020,P2011321101E,P20113211,Carp,Storm,113,Epi,211,2020.578082,0.5,,8.67,,3.33,,5.33,,129,,77.95,,0.33,,0.1,,9.93,,92.42,
2020,A2011323201E,A2011323201E,ALM,Storm,113,Epi,232,2020.635616,0.4,,20,,6.8,,13.2,,153.3,,97.6,,0.26,,0.02,a,13.1,,25.7,
2020,S2040614001E,S2040614001E,ShallowLakes,South Twin,406,Epi,140,2020.383562,NA,m,100,,44,,56,,190,,2.9,a,2.4,,0.05,a,110,,NA,m
2020,P2040615401E,P20406154,Carp,South Twin,406,Epi,154,2020.421918,0.15,,110,,44,,66,,228.75,,2.9,a,2.3,,0.28,,147.18,,65.21,
2020,S2040616801E,S2040616801E,ShallowLakes,South Twin,406,Epi,168,2020.460274,NA,m,120,,56,,64,,240,,2.9,a,2.8,,0.05,a,150,,NA,m
2020,P2040617701E,P20406177,Carp,South Twin,406,Epi,177,2020.484932,0.17,,NA,m,NA,m,NA,m,181.9,,2.9,a,2.4,,0.26,,82.29,,42.4,
2020,P2040619001E,P20406190,Carp,South Twin,406,Epi,190,2020.520548,NA,m,98,,54,,44,,229.85,,2.9,a,1.78,,0.17,,93.78,,65.17,
2020,S2040619801E,S2040619801E,ShallowLakes,South Twin,406,Epi,198,2020.542466,NA,m,92,,28,,64,,220,,2.9,a,2.4,,0.05,a,100,,NA,m
2020,P2040620501E,P20406205,Carp,South Twin,406,Epi,205,2020.561644,0.13,,134,,72,,62,,197.85,,2.9,a,2.64,,0.15,,79.94,,113.74,
2020,P2040621301E,P20406213,Carp,South Twin,406,Epi,213,2020.583562,NA,m,NA,m,NA,m,NA,m,177.85,,2.9,a,1.1,,0.17,,NA,m,NA,m
2020,S2040622602E,S2040622602E,ShallowLakes,South Twin,406,Epi,226,2020.619178,NA,m,130,,40,,90,,190,,2.9,a,3.2,,0.05,a,130,,NA,m
2020,P2040623201E,P20406232,Carp,South Twin,406,Epi,232,2020.635616,0.15,,114,,58,,56,,177.3,,2.9,a,0.1,a,0.02,a,56.82,,37.85,
2020,S2040625902E,S2040625902E,ShallowLakes,South Twin,406,Epi,259,2020.709589,NA,m,120,,20,,100,,130,,2.9,a,2,,0.1,,110,,NA,m
2020,P2001220601H,P20012206,Carp,Blue,12,Hypo,206,2020.564384,NA,m,63,,13.5,,49.5,,149.85,,2.9,a,0.76,,0.13,,NA,m,NA,m
2020,P2001915001H,P20019150,Carp,Center,19,Hypo,150,2020.410959,NA,m,34.4,,12.4,,22,,65.45,,2.9,a,1.14,,0.19,,NA,m,NA,m
2020,P2001916601H,P20019166,Carp,Center,19,Hypo,166,2020.454795,NA,m,14,,9,,5,,47.6,,2.9,a,1.27,,0.11,,NA,m,NA,m
2020,P2001917701H,P20019177,Carp,Center,19,Hypo,177,2020.484932,NA,m,12,,2,,10,,62,,2.9,a,1.36,,0.15,,NA,m,NA,m
2020,P2001919301H,P20019193,Carp,Center,19,Hypo,193,2020.528767,NA,m,12.5,,7,,5.5,,71.6,,2.9,a,1.66,,0.16,,NA,m,NA,m
2020,P2001921301H,P20019213,Carp,Center,19,Hypo,213,2020.583562,NA,m,NA,m,NA,m,NA,m,64.3,,2.9,a,0.96,,0.05,,NA,m,NA,m
2020,P2000922601H,P20009226,Carp,Center,19,Hypo,226,2020.619178,NA,m,NA,m,NA,m,NA,m,73.1,,2.9,a,1.04,,0.09,,NA,m,NA,m
2020,P2003615101H,P20036151,Carp,Five Island,36,Hypo,151,2020.413699,NA,m,12.4,,3.2,,9.2,,38.45,,2.9,a,2.9,,1.87,,NA,m,NA,m
2020,P2003616701H,P20036167,Carp,Five Island,36,Hypo,167,2020.457534,NA,m,36,,34,,2,,96.35,,2.9,a,2.17,,0.81,,NA,m,NA,m
2020,P2003617601H,P20036176,Carp,Five Island,36,Hypo,176,2020.482192,NA,m,42,,12,,30,,93.35,,2.9,a,1.54,,0.76,,NA,m,NA,m
2020,P2003619001H,P20036190,Carp,Five Island,36,Hypo,190,2020.520548,NA,m,21.54,,10.77,,10.77,,354.5,,239.75,,2.41,,0.14,,NA,m,NA,m
2020,P2003620301H,P20036203,Carp,Five Island,36,Hypo,203,2020.556164,NA,m,17,,9,,8,,383.7,,271.2,,2.14,,0.16,,NA,m,NA,m
2020,P2003621201H,P20036212,Carp,Five Island,36,Hypo,212,2020.580822,NA,m,36.5,,13,,23.5,,115.2,,4.8,,1.53,,0.2,,NA,m,NA,m
2020,P2003622501H,P20036225,Carp,Five Island,36,Hypo,225,2020.616438,NA,m,NA,m,NA,m,NA,m,103.45,,20.95,,1.05,,0.12,,NA,m,NA,m
2020,P2009015401H,P20090154,Carp,North Twin,90,Hypo,154,2020.421918,NA,m,15.2,,10,,5.2,,39.85,,2.9,a,1.21,,0.77,,NA,m,NA,m
2020,P2009017701H,P20090177,Carp,North Twin,90,Hypo,177,2020.484932,NA,m,NA,m,NA,m,NA,m,88.55,,2.9,a,1.53,,0.18,,NA,m,NA,m
2020,P2009019001H,P20090190,Carp,North Twin,90,Hypo,190,2020.520548,NA,m,24,,24,,0,a,94.05,,2.9,a,0.72,,0.12,,NA,m,NA,m
2020,P2009021301H,P20090213,Carp,North Twin,90,Hypo,213,2020.583562,NA,m,33.68,,28.42,,5.26,,82.6,,2.9,a,0.1,a,0.09,,NA,m,NA,m
2020,P2010514901H,P20105149,Carp,Silver,105,Hypo,149,2020.408219,NA,m,5.2,,2.8,,2.4,,40.15,,8.85,,4.22,,3.41,,NA,m,NA,m
2020,P2010516101H,P20105161,Carp,Silver,105,Hypo,161,2020.441096,NA,m,10,,9,,1,,53.25,,12.1,,4.1,,2.91,,NA,m,NA,m
2020,P2010517801H,P20105178,Carp,Silver,105,Hypo,178,2020.487671,NA,m,3.33,,3.33,,0,a,101.5,,49.45,,2.98,,1.74,,NA,m,NA,m
2020,P2010518901H,P20105189,Carp,Silver,105,Hypo,189,2020.517808,NA,m,3.5,,3.5,,0,a,71.8,,22.5,,1.82,,0.71,,NA,m,NA,m
2020,P2010520201H,P20105202,Carp,Silver,105,Hypo,202,2020.553425,NA,m,14,,7.5,,6.5,,191.5,,78.85,,1.57,,0.09,,NA,m,NA,m
2020,P2010521301H,P20105213,Carp,Silver,105,Hypo,213,2020.583562,NA,m,NA,m,NA,m,NA,m,290.05,,126.8,,0.44,,0.04,,NA,m,NA,m
2020,P2010522401H,P20105224,Carp,Silver,105,Hypo,224,2020.613699,NA,m,NA,m,NA,m,NA,m,163.35,,25.05,,0.42,,0.06,,NA,m,NA,m
2020,P2011314801H,P20113148,Carp,Storm,113,Hypo,148,2020.405479,NA,m,23.6,,4.8,,18.8,,53.55,,23.15,,0.95,,0.49,,NA,m,NA,m
2020,P2011316401H,P20113164,Carp,Storm,113,Hypo,164,2020.449315,NA,m,22,,1,,21,,61.8,,24,,1.18,,0.58,,NA,m,NA,m
2020,P2011317501H,P20113175,Carp,Storm,113,Hypo,175,2020.479452,NA,m,14.67,,1.33,,13.33,,86.2,,39,,1.49,,0.81,,NA,m,NA,m
2020,P2011319201H,P20113192,Carp,Storm,113,Hypo,192,2020.526027,NA,m,13,,6.5,,6.5,,78.5,,21,,0.69,,0.12,,NA,m,NA,m
2020,P2011320501H,P20113205,Carp,Storm,113,Hypo,205,2020.561644,NA,m,29,,7.5,,21.5,,266.7,,109.35,,0.35,,0.1,,NA,m,NA,m
2020,P2011321101H,P20113211,Carp,Storm,113,Hypo,211,2020.578082,NA,m,12.33,,3.67,,8.67,,125.85,,78.75,,0.63,,0.11,,NA,m,NA,m
2020,P2040615401H,P20406154,Carp,South Twin,406,Hypo,154,2020.421918,NA,m,288,,88,,200,,356.45,,2.9,a,2.82,,0.28,,NA,m,NA,m
2020,P2040617701H,P20406177,Carp,South Twin,406,Hypo,177,2020.484932,NA,m,NA,m,NA,m,NA,m,180,,2.9,a,2.35,,0.28,,NA,m,NA,m
2020,P2040620501H,P20406205,Carp,South Twin,406,Hypo,205,2020.561644,NA,m,152,,80,,72,,119.25,,2.9,a,2.12,,0.28,,NA,m,NA,m
