Lake,Date,Time,Depth (m),Temperature (Deg C),pH,DO (% Saturation),DO (mg/L),Specific Conductivity (uS/cm),Turbidity (NTU),TDS (mg/L)
(1) Arbor Lake (Poweshiek),9/9/2018,12:32,0,21.29885057,7.466321839,67.57126437,5.978735632,467.4908046,20.55402299,303.9425287
(1) Arbor Lake (Poweshiek),9/9/2018,12:32,1,20.05977011,7.373103448,49.78137931,4.513103448,466.482069,22.598,303.1448276
(1) Arbor Lake (Poweshiek),9/9/2018,12:32,1.5,19.69973545,7.300714286,42.60952381,3.891428571,471.6595238,27.07357143,306.5714286
(1) Arbor Lake (Poweshiek),9/9/2018,12:32,2,19.53839869,7.298235294,42.00147059,3.85,476.7558824,31.53852941,309.9117647
(1) Arbor Lake (Poweshiek),9/9/2018,12:32,2.5,19.38412698,7.280571429,37.95714286,3.488571429,491.54,37.843,319.5142857
(1) Arbor Lake (Poweshiek),9/9/2018,12:32,3,19.24740741,7.27,34.77066667,3.205066667,505.4213333,43.37013333,328.48
(1) Arbor Lake (Poweshiek),9/9/2018,12:32,3.5,19.12345679,7.271666667,34.87222222,3.222222222,509.8875,49.61138889,331.5
(1) Arbor Lake (Poweshiek),9/9/2018,12:32,4,18.99033816,7.28,36.08405797,3.342898551,513.6144928,142.6827536,333.884058
(1) Arbor Lake (Poweshiek),9/9/2018,12:32,4.5,18.94444444,7.270967742,36.64516129,3.4,515.9290323,64.00903226,335.2258065
(2) Arrowhead Pond (Pottawattamie),8/26/2018,7:25,0,23.503003,8.246486486,102.1,8.664864865,411.1675676,13.64837838,267.1891892
(2) Arrowhead Pond (Pottawattamie),8/26/2018,7:25,0.5,22.53988604,7.966410256,82.85641026,7.16,429.8615385,13.60512821,279.4102564
(2) Arrowhead Pond (Pottawattamie),8/26/2018,7:25,1,21.87888889,7.7158,61.26,5.3592,437.82,11.2448,284.6
(2) Arrowhead Pond (Pottawattamie),8/26/2018,7:25,1.5,21.12698413,7.396428571,32.47857143,2.882142857,443.7892857,7.000357143,288.4642857
(2) Arrowhead Pond (Pottawattamie),8/26/2018,7:25,2,20.87037037,7.310238095,21.17857143,1.889285714,441.8833333,4.424761905,287.2380952
(2) Arrowhead Pond (Pottawattamie),8/26/2018,7:25,2.5,20.6465721,7.262765957,13.96595745,1.251276596,455.3361702,2.684680851,295.9787234
(2) Arrowhead Pond (Pottawattamie),8/26/2018,7:25,3,20.37801932,7.217826087,6.173913043,0.555652174,483.2434783,2.09826087,314.0869565
(2) Arrowhead Pond (Pottawattamie),8/26/2018,7:25,3.5,20.22376543,7.205555556,3.333333333,0.301666667,506.75,5.762222222,329.3611111
(3) Arrowhead Lake (Sac),8/13/2018,10:14,0,27.34126984,8.30047619,115.2571429,9.118095238,473.1047619,13.26619048,307.5238095
(3) Arrowhead Lake (Sac),8/13/2018,10:14,1,27.28632479,8.3,119.7692308,9.484615385,475.1,6.437692308,309
(3) Arrowhead Lake (Sac),8/13/2018,10:14,1.5,27.19547325,8.298518519,120.1962963,9.533333333,475.7,6.471481481,309.2222222
(3) Arrowhead Lake (Sac),8/13/2018,10:14,2.5,26.8034188,8.243076923,114.3230769,9.125384615,479.4923077,7.081538462,311.6923077
(3) Arrowhead Lake (Sac),8/13/2018,10:14,3,25.97509579,7.87137931,65.29655172,5.283448276,489.337931,8.375172414,318.0689655
(3) Arrowhead Lake (Sac),8/13/2018,10:14,3.5,25.39583333,7.606875,21.15625,1.7325,494.43125,9.726875,321.25
(3) Arrowhead Lake (Sac),8/13/2018,10:14,4,25.03888889,7.5135,11.505,0.9485,497.205,10.3675,323.2
(3) Arrowhead Lake (Sac),8/13/2018,10:14,4.5,24.28055556,7.283,6.965,0.5825,508.895,13.527,330.8
(3) Arrowhead Lake (Sac),8/13/2018,10:14,5,23.25694444,7.045,5.3625,0.455,525.5875,27.32125,341.5
(4) Avenue of the Saints Pond (Bremer),9/16/2018,8:55,0,23.51470588,7.88,111.3117647,9.449411765,230.7735294,25.91735294,150
(4) Avenue of the Saints Pond (Bremer),9/16/2018,8:55,0.5,23.47119342,7.856296296,109.9888889,9.344444444,230.9518519,23.83,150
(4) Avenue of the Saints Pond (Bremer),9/16/2018,8:55,1,23.04059829,7.541923077,83.80384615,7.170769231,232.4461538,20.26653846,151.1153846
(4) Avenue of the Saints Pond (Bremer),9/16/2018,8:55,1.5,22.31196581,7.256538462,47.02307692,4.080384615,234.2653846,18.09807692,152.2307692
(4) Avenue of the Saints Pond (Bremer),9/16/2018,8:55,2,21.675,7.1255,24.695,2.173,235.305,17.3635,153
(4) Avenue of the Saints Pond (Bremer),9/16/2018,8:55,2.5,21.28070175,7.044210526,13.09473684,1.161052632,236.8736842,18.36105263,153.9473684
(4) Avenue of the Saints Pond (Bremer),9/16/2018,8:55,3,20.90935673,6.997368421,8.1,0.723684211,237.3789474,20.27157895,154.4210526
(4) Avenue of the Saints Pond (Bremer),9/16/2018,8:55,3.5,20.71604938,6.973888889,5.577777778,0.5,237.1833333,22.615,154.2222222
(4) Avenue of the Saints Pond (Bremer),9/16/2018,8:55,4,20.54444444,6.946,4.553333333,0.409333333,239.18,25.55733333,155.4
(4) Avenue of the Saints Pond (Bremer),9/16/2018,8:55,5,20.37037037,6.913333333,4.122222222,0.371111111,240.8777778,29.31555556,156.5555556
(5) Badger Creek Lake (Madison),8/22/2018,15:50,0,27.23163842,8.959830508,188.5983051,14.95271186,238.2644068,55.63101695,155.0169492
(5) Badger Creek Lake (Madison),8/22/2018,15:50,1,25.02674897,8.776666667,142.6666667,11.71407407,247.0888889,53.92888889,160.7037037
(5) Badger Creek Lake (Madison),8/22/2018,15:50,1.5,24.15123457,8.512037037,69.47037037,5.824814815,250.162963,45.98166667,162.6851852
(5) Badger Creek Lake (Madison),8/22/2018,15:50,2,24.05555556,8.438888889,46.93333333,3.944444444,250.8111111,42.24777778,163
(5) Badger Creek Lake (Madison),8/22/2018,15:50,2.5,24.03333333,8.36,45.64,3.838,251.08,42.126,163
(5) Badger Creek Lake (Madison),8/22/2018,15:50,3,23.95424837,8.289411765,41.58823529,3.502156863,251.7098039,41.83901961,163.8235294
(5) Badger Creek Lake (Madison),8/22/2018,15:50,3.5,23.86222222,8.2552,34.244,2.8864,252.316,40.66,164
(5) Badger Creek Lake (Madison),8/22/2018,15:50,4,23.83333333,8.13,27.5,2.32,252.9,39.8,164
(5) Badger Creek Lake (Madison),8/22/2018,15:50,4.5,23.49137931,7.902586207,19.05172414,1.615,277.2775862,33.34224138,180.2241379
(5) Badger Creek Lake (Madison),8/22/2018,15:50,5,21.90935673,7.090263158,12.42631579,1.087368421,423.0105263,28.25684211,274.8947368
(6) Badger Lake (Webster),8/14/2018,9:05,0,25.80847953,8.385789474,252.0578947,20.49578947,366.5342105,12.42342105,238.2105263
(6) Badger Lake (Webster),8/14/2018,9:05,0.5,24.87393162,7.771923077,200.3423077,16.53538462,414.4192308,9.400384615,269.4615385
(6) Badger Lake (Webster),8/14/2018,9:05,1,23.05185185,7.399333333,83.42666667,7.120333333,464.3466667,10.04433333,301.7666667
(6) Badger Lake (Webster),8/14/2018,9:05,1.5,21.92824074,7.252083333,27.725,2.42,476.95,10.47916667,309.9583333
(6) Badger Lake (Webster),8/14/2018,9:05,2,21.00529101,7.157142857,12.33333333,1.096190476,483.7142857,10.80904762,314.3809524
(6) Badger Lake (Webster),8/14/2018,9:05,2.5,20.30808081,7.108181818,8.222727273,0.741818182,491.6090909,12.03909091,319.5909091
(6) Badger Lake (Webster),8/14/2018,9:05,3,19.76315789,7.072105263,6.305263158,0.575263158,509.1736842,17.15368421,331
(6) Badger Lake (Webster),8/14/2018,9:05,3.5,19.23015873,7.03,5.352380952,0.493809524,534.4142857,28.41380952,347.3333333
(6) Badger Lake (Webster),8/14/2018,9:05,4,18.76470588,6.969411765,4.729411765,0.440588235,558.7411765,51.60470588,363.3529412
(7) Beaver Lake (Dallas),8/30/2018,15:30,0,24.07539683,9.005714286,135.9857143,11.42642857,256.5714286,52.26714286,167
(7) Beaver Lake (Dallas),8/30/2018,15:30,1,23.97222222,9.026666667,138.3666667,11.64166667,256.6833333,54.105,167
(7) Beaver Lake (Dallas),8/30/2018,15:30,1.5,23.6984127,8.879285714,120.1928571,10.165,258.3,43.42857143,167.7857143
(7) Beaver Lake (Dallas),8/30/2018,15:30,2.5,23.42592593,8.66,94.53333333,8.036666667,260.7666667,36.18666667,169.6666667
(7) Beaver Lake (Dallas),8/30/2018,15:30,3,23.25925926,8.28,63.84444444,5.445555556,264.1888889,30.51555556,171.7777778
(7) Beaver Lake (Dallas),8/30/2018,15:30,3.5,23.07407407,8.013333333,35.56666667,3.04,270.0666667,23.88,175.3333333
(7) Beaver Lake (Dallas),8/30/2018,15:30,4,23,7.98,31.8,2.73,272.6,22.15,177
(7) Beaver Lake (Dallas),8/30/2018,15:30,4.5,22.80555556,7.803333333,23.28333333,2.001666667,277.3666667,19.95833333,180.3333333
(7) Beaver Lake (Dallas),8/30/2018,15:30,5,20.01587302,7.3,16.22857143,1.464285714,392.9428571,16.61714286,255.5714286
(7) Beaver Lake (Dallas),8/30/2018,15:30,6,16.69444444,7.0625,12.675,1.23,447.7,13.705,291
(7) Beaver Lake (Dallas),8/30/2018,15:30,6.5,14.16666667,7.01,11.42857143,1.165714286,467.7285714,12.31857143,304
(7) Beaver Lake (Dallas),8/30/2018,15:30,7,12.07407407,6.986666667,10.4,1.113333333,479.1333333,11.91666667,311.6666667
(7) Beaver Lake (Dallas),8/30/2018,15:30,8,10.6,6.972,9.2,1.018,479.98,12.128,312
(7) Beaver Lake (Dallas),8/30/2018,15:30,8.5,9.354166667,6.8425,7.9125,0.90625,479.6125,12.655,311.875
(7) Beaver Lake (Dallas),8/30/2018,15:30,9,9.083333333,6.785,7.25,0.835,485.05,13.205,315
(7) Beaver Lake (Dallas),8/30/2018,15:30,9.5,9,6.775,7.05,0.815,491.7,13.425,320
(7) Beaver Lake (Dallas),8/30/2018,15:30,10,8.715277778,6.68625,6.5875,0.76625,517.7125,15.7675,336.375
(8) Beeds Lake (Franklin),9/16/2018,7:25,0,22,8.059,141.0166667,12.29933333,522.2666667,14.78166667,339.4333333
(8) Beeds Lake (Franklin),9/16/2018,7:25,0.5,20.25,7.653888889,85,7.670555556,531.7388889,18.19833333,345.7222222
(8) Beeds Lake (Franklin),9/16/2018,7:25,1,19.49652778,7.563125,68.23125,6.25375,525.64375,17.855625,341.75
