doy,DO_mgL,bottom_temp,top_temp,temp_diff
155.54,6.02,23.00388889,23.77277778,0.768888889
155.56,6.13,23.1,23.96611111,0.866111111
155.58,6.58,23.1,24.06222222,0.962222222
155.6,6.51,23.1,24.15777778,1.057777778
155.63,6.97,23.00388889,24.255,1.251111111
155.65,7.04,23.00388889,24.44777778,1.443888889
155.67,5.74,23.00388889,24.44777778,1.443888889
155.69,4.99,23.00388889,24.545,1.541111111
155.71,5.68,22.90777778,24.44777778,1.54
155.73,4.88,22.81222222,24.44777778,1.635555556
155.75,3.72,22.81222222,24.44777778,1.635555556
155.77,2.57,22.81222222,24.35111111,1.538888889
155.79,1.49,22.81222222,24.35111111,1.538888889
155.81,0.78,22.71722222,24.15777778,1.440555556
155.83,0.58,22.81222222,24.15777778,1.345555556
155.85,0.49,22.81222222,24.15777778,1.345555556
155.88,0,22.71722222,24.545,1.827777778
155.9,0,22.81222222,24.44777778,1.635555556
155.92,0,22.71722222,24.35111111,1.633888889
155.94,0,22.81222222,24.15777778,1.345555556
155.96,0,22.81222222,24.06222222,1.25
155.98,0,22.81222222,23.96611111,1.153888889
156,0,22.71722222,23.77277778,1.055555556
156.02,0,22.81222222,23.67722222,0.865
156.04,0,22.81222222,23.77277778,0.960555556
156.06,0,22.81222222,23.77277778,0.960555556
156.08,0,22.81222222,23.67722222,0.865
156.1,0,22.81222222,23.58111111,0.768888889
156.13,0,22.81222222,23.58111111,0.768888889
156.15,0,22.81222222,23.48388889,0.671666667
156.17,0,22.90777778,23.38777778,0.48
156.19,0,22.81222222,23.29222222,0.48
156.21,0,22.81222222,23.19611111,0.383888889
156.23,0,22.71722222,23.19611111,0.478888889
156.25,0,22.71722222,23.1,0.382777778
156.27,0,22.71722222,23.1,0.382777778
156.29,0,22.81222222,23.00388889,0.191666667
156.31,0,22.90777778,23.00388889,0.096111111
156.33,0,22.81222222,23.1,0.287777778
156.35,0,22.81222222,23.19611111,0.383888889
156.38,0.02,22.62111111,23.38777778,0.766666667
156.4,0,22.62111111,23.58111111,0.96
156.42,0,22.71722222,23.86888889,1.151666667
156.44,0,22.62111111,24.15777778,1.536666667
156.46,0,22.62111111,24.64111111,2.02
156.48,0,22.62111111,24.835,2.213888889
156.5,0,22.525,24.73777778,2.212777778
156.52,0,22.525,24.73777778,2.212777778
156.54,0,22.525,25.22222222,2.697222222
156.56,0,22.42888889,25.70777778,3.278888889
156.58,0,22.42888889,26.29222222,3.863333333
156.6,0,22.42888889,26.39,3.961111111
156.63,0,22.42888889,26.78111111,4.352222222
156.65,0,22.42888889,26.97722222,4.548333333
156.67,0,22.33277778,27.37,5.037222222
156.69,0,22.33277778,27.56722222,5.234444444
156.71,0,22.33277778,27.96111111,5.628333333
156.73,0,22.33277778,27.86222222,5.529444444
156.75,0,22.525,27.86222222,5.337222222
156.77,0,22.42888889,27.76388889,5.335
156.79,0,22.33277778,27.56722222,5.234444444
156.81,0,22.42888889,27.27222222,4.843333333
156.83,0,22.33277778,27.17277778,4.84
156.85,0,22.42888889,26.87888889,4.45
156.88,0,22.42888889,26.78111111,4.352222222
156.9,0,22.42888889,26.68277778,4.253888889
156.92,0,22.42888889,26.48777778,4.058888889
156.94,0,22.42888889,26.39,3.961111111
156.96,0,22.42888889,26.195,3.766111111
156.98,0,22.33277778,26.09722222,3.764444444
157,0,22.42888889,26,3.571111111
157.02,0,22.33277778,25.805,3.472222222
157.04,0,22.33277778,25.70777778,3.375
157.06,0,22.23777778,25.41611111,3.178333333
157.08,0,22.23777778,25.31888889,3.081111111
157.1,0,22.23777778,24.93111111,2.693333333
157.13,0,22.33277778,24.73777778,2.405
157.15,0,22.33277778,24.545,2.212222222
157.17,0,22.33277778,24.35111111,2.018333333
157.19,0,22.23777778,25.125,2.887222222
157.21,0,22.23777778,24.835,2.597222222
157.23,0,22.23777778,24.73777778,2.5
157.25,0,22.23777778,24.64111111,2.403333333
157.27,0,22.23777778,24.64111111,2.403333333
