"","year","doy","siteID","name","TSS","TFSS"
"1",2005,266,22050001,"Littlefield Lake (maximum water depth)",12,NA
"2",2005,216,22050001,"Littlefield Lake (maximum water depth)",19,NA
"3",2005,230,22050001,"Littlefield Lake (maximum water depth)",13,NA
"4",2005,251,22050001,"Littlefield Lake (maximum water depth)",15,NA
"5",2004,189,22050001,"Littlefield Lake (maximum water depth)",8,NA
"6",2004,216,22050001,"Littlefield Lake (maximum water depth)",60,NA
"7",2004,202,22050001,"Littlefield Lake (maximum water depth)",19,NA
"8",2004,260,22050001,"Littlefield Lake (maximum water depth)",47,NA
"9",2004,279,22050001,"Littlefield Lake (maximum water depth)",22,NA
"10",2004,245,22050001,"Littlefield Lake (maximum water depth)",21,NA
"11",2004,231,22050001,"Littlefield Lake (maximum water depth)",60,NA
"12",2005,188,22050001,"Littlefield Lake (maximum water depth)",25,NA
"13",2005,166,22050001,"Littlefield Lake (maximum water depth)",15,NA
"14",2005,76,22050001,"Littlefield Lake (maximum water depth)",8,NA
"15",2005,153,22050001,"Littlefield Lake (maximum water depth)",13,NA
"16",2005,153,22050002,"Littlefield Lake (mean water depth)",16,NA
"17",2005,166,22050002,"Littlefield Lake (mean water depth)",26,NA
"18",2005,188,22050002,"Littlefield Lake (mean water depth)",21,NA
"19",2004,231,22050002,"Littlefield Lake (mean water depth)",64,NA
"20",2004,245,22050002,"Littlefield Lake (mean water depth)",18,NA
"21",2004,279,22050002,"Littlefield Lake (mean water depth)",20,NA
"22",2004,260,22050002,"Littlefield Lake (mean water depth)",42,NA
"23",2004,202,22050002,"Littlefield Lake (mean water depth)",16,NA
"24",2004,216,22050002,"Littlefield Lake (mean water depth)",50,NA
"25",2004,189,22050002,"Littlefield Lake (mean water depth)",4,NA
"26",2005,251,22050002,"Littlefield Lake (mean water depth)",12,NA
"27",2005,230,22050002,"Littlefield Lake (mean water depth)",14,NA
"28",2005,216,22050002,"Littlefield Lake (mean water depth)",17,NA
"29",2005,266,22050002,"Littlefield Lake (mean water depth)",14,NA
"30",2005,266,22050003,"Littlefield Lake (shallow water depth)",18,NA
"31",2005,216,22050003,"Littlefield Lake (shallow water depth)",13,NA
"32",2005,230,22050003,"Littlefield Lake (shallow water depth)",28,NA
"33",2005,251,22050003,"Littlefield Lake (shallow water depth)",24,NA
"34",2004,189,22050003,"Littlefield Lake (shallow water depth)",11,NA
"35",2004,216,22050003,"Littlefield Lake (shallow water depth)",50,NA
"36",2004,202,22050003,"Littlefield Lake (shallow water depth)",20,NA
"37",2004,260,22050003,"Littlefield Lake (shallow water depth)",41,NA
"38",2004,279,22050003,"Littlefield Lake (shallow water depth)",17,NA
"39",2004,245,22050003,"Littlefield Lake (shallow water depth)",23,NA
"40",2004,231,22050003,"Littlefield Lake (shallow water depth)",68,NA
"41",2005,188,22050003,"Littlefield Lake (shallow water depth)",31,NA
"42",2005,166,22050003,"Littlefield Lake (shallow water depth)",14,NA
"43",2005,153,22050003,"Littlefield Lake (shallow water depth)",16,NA
"44",2009,168,22060001,"Hannen Lake",4,NA
"45",2009,127,22060001,"Hannen Lake",3,NA
"46",2009,217,22060001,"Hannen Lake",7,NA
"47",2009,190,22060001,"Hannen Lake",3,NA
"48",2009,253,22060001,"Hannen Lake",5,NA
"49",2009,267,22060003,"Hannen Lake Outfall",5,NA
"50",2009,190,22060003,"Hannen Lake Outfall",3,NA
"51",2009,217,22060003,"Hannen Lake Outfall",50,NA
"52",2009,253,22060003,"Hannen Lake Outfall",26,NA
"53",2009,127,22060003,"Hannen Lake Outfall",4,NA
"54",2009,141,22060003,"Hannen Lake Outfall",6,NA
"55",2009,168,22060003,"Hannen Lake Outfall",10,NA
"56",2002,254,22080001,"Don Williams Lake Surface Grab (1)",19,NA
"57",2002,282,22080001,"Don Williams Lake Surface Grab (1)",2,NA
"58",2002,169,22080001,"Don Williams Lake Surface Grab (1)",8,NA
"59",2002,142,22080001,"Don Williams Lake Surface Grab (1)",7,NA
"60",2002,115,22080001,"Don Williams Lake Surface Grab (1)",3,NA
"61",2002,224,22080001,"Don Williams Lake Surface Grab (1)",10,NA
"62",2002,199,22080001,"Don Williams Lake Surface Grab (1)",8,NA
"63",2002,87,22080001,"Don Williams Lake Surface Grab (1)",5,NA
"64",2002,101,22080001,"Don Williams Lake Surface Grab (1)",6,NA
"65",2002,101,22080002,"Don Williams Lake Mid-depth Grab (2)",4,NA
"66",2002,87,22080002,"Don Williams Lake Mid-depth Grab (2)",5,NA
"67",2002,199,22080002,"Don Williams Lake Mid-depth Grab (2)",8,NA
"68",2002,224,22080002,"Don Williams Lake Mid-depth Grab (2)",6,NA
"69",2002,115,22080002,"Don Williams Lake Mid-depth Grab (2)",5,NA
"70",2002,169,22080002,"Don Williams Lake Mid-depth Grab (2)",6,NA
"71",2002,142,22080002,"Don Williams Lake Mid-depth Grab (2)",7,NA
"72",2002,282,22080002,"Don Williams Lake Mid-depth Grab (2)",2,NA
"73",2002,254,22080002,"Don Williams Lake Mid-depth Grab (2)",20,NA
"74",2002,254,22080003,"Don Williams Lake Bottom Grab (3)",12,NA
"75",2002,282,22080003,"Don Williams Lake Bottom Grab (3)",4,NA
"76",2002,169,22080003,"Don Williams Lake Bottom Grab (3)",5,NA
"77",2002,142,22080003,"Don Williams Lake Bottom Grab (3)",5,NA
"78",2002,115,22080003,"Don Williams Lake Bottom Grab (3)",7,NA
"79",2002,224,22080003,"Don Williams Lake Bottom Grab (3)",21,NA
"80",2002,199,22080003,"Don Williams Lake Bottom Grab (3)",7,NA
"81",2002,87,22080003,"Don Williams Lake Bottom Grab (3)",4,NA
"82",2002,101,22080003,"Don Williams Lake Bottom Grab (3)",6,NA
"83",2003,190,22080004,"Don Williams Lake (maximum water depth)",26,NA
"84",2003,202,22080004,"Don Williams Lake (maximum water depth)",13,NA
"85",2003,254,22080004,"Don Williams Lake (maximum water depth)",9,NA
"86",2003,268,22080004,"Don Williams Lake (maximum water depth)",15,NA
"87",2003,280,22080004,"Don Williams Lake (maximum water depth)",14,NA
"88",2003,232,22080004,"Don Williams Lake (maximum water depth)",6,NA
"89",2003,216,22080004,"Don Williams Lake (maximum water depth)",11,NA
"90",2003,216,22080005,"Don Williams Lake (mean water depth)",8,NA
"91",2003,232,22080005,"Don Williams Lake (mean water depth)",8,NA
"92",2003,280,22080005,"Don Williams Lake (mean water depth)",15,NA
"93",2003,268,22080005,"Don Williams Lake (mean water depth)",15,NA
"94",2003,254,22080005,"Don Williams Lake (mean water depth)",11,NA
"95",2003,202,22080005,"Don Williams Lake (mean water depth)",11,NA
"96",2003,190,22080005,"Don Williams Lake (mean water depth)",28,NA
"97",2003,190,22080006,"Don Williams Lake (shallow water depth)",210,NA
"98",2003,202,22080006,"Don Williams Lake (shallow water depth)",32,NA
"99",2003,254,22080006,"Don Williams Lake (shallow water depth)",32,NA
"100",2003,280,22080006,"Don Williams Lake (shallow water depth)",22,NA
"101",2003,268,22080006,"Don Williams Lake (shallow water depth)",23,NA
"102",2003,232,22080006,"Don Williams Lake (shallow water depth)",35,NA
"103",2003,216,22080006,"Don Williams Lake (shallow water depth)",18,NA
"104",2010,140,22090001,"Avenue of the Saints Lake",11,4
"105",2010,259,22090001,"Avenue of the Saints Lake",19,11
"106",2010,229,22090001,"Avenue of the Saints Lake",19,4
"107",2010,202,22090001,"Avenue of the Saints Lake",19,5
"108",2010,161,22090001,"Avenue of the Saints Lake",9,5
"109",2005,172,22110001,"Storm Lake Max Depth",30,NA
"110",2005,236,22110001,"Storm Lake Max Depth",41,NA
"111",2005,208,22110001,"Storm Lake Max Depth",29,NA
"112",2004,230,22130001,"North Twin Lake (maximum water depth)",33,NA
"113",2004,217,22130001,"North Twin Lake (maximum water depth)",31,NA
"114",2004,244,22130001,"North Twin Lake (maximum water depth)",20,NA
"115",2004,259,22130001,"North Twin Lake (maximum water depth)",21,NA
"116",2004,280,22130001,"North Twin Lake (maximum water depth)",15,NA
"117",2004,204,22130001,"North Twin Lake (maximum water depth)",18,NA
"118",2004,188,22130001,"North Twin Lake (maximum water depth)",41,NA
"119",2004,188,22130002,"North Twin Lake (mean water depth)",20,NA
"120",2004,259,22130002,"North Twin Lake (mean water depth)",27,NA
"121",2004,244,22130002,"North Twin Lake (mean water depth)",25,NA
"122",2004,204,22130002,"North Twin Lake (mean water depth)",17,NA
