sampleID,doy,siteID,depthID,nitrate,nitrate_flag,srp,srp_flag,tp,tp_flag,tn,tn_flag,microcystin,microcystin_flag
G19041164430,164,4,3,1.49,,0,a,,c,,c,,c
G19041164440,164,4,4,1.13,,119.45,,,c,,c,,c
G19041164510,164,5,1,1.38,,2.55,,61.25,,4.6624,,8.1975,
G19041164520,164,5,2,1.19,,0,a,,c,,c,,c
G19041164530,164,5,3,1.28,,0,a,,c,,c,,c
G19041164540,164,5,4,1.14,,12.4,,,c,,c,,c
G19041164610,164,6,1,1.13,,0,a,61.75,,4.6947,,6.89,
G19041164620,164,6,2,1.24,,0,a,,c,,c,,c
G19041164630,164,6,3,1.21,,2.45,,,c,,c,,c
G19041164640,164,6,4,1.25,,13.65,,,c,,c,,c
G19041171110,171,1,1,1.19,,0,a,95.5,,,b,17.33,
G19041171120,171,1,2,1.135,,0,a,,c,,b,,c
G19041171130,171,1,3,1.25,,0,a,,c,,b,,c
G19041171140,171,1,4,1.225,,59.1,,,c,,b,,c
G19041171210,171,2,1,1.095,,0,a,95.2,,,b,30.17,
G19041171220,171,2,2,1.03,,0,a,,c,,b,,c
G19041171230,171,2,3,,b,0,a,,c,,b,,c
G19041171240,171,2,4,0.965,,30.5,,,c,,b,,c
G19041171310,171,3,1,0.98,,0,a,73.95,,,b,25.25,
G19041171320,171,3,2,1.08,,0,a,,c,,b,,c
G19041171330,171,3,3,1.155,,22.4,,,c,,b,,c
G19041171340,171,3,4,0.835,,125.7,,,c,,b,,c
G19041171410,171,4,1,1.015,,0,a,72.5,,,b,23.455,
G19041171420,171,4,2,1.005,,1.95,,,c,,b,,c
G19041171430,171,4,3,1.16,,19.85,,,c,,b,,c
G19041171440,171,4,4,0.875,,84.75,,,c,,b,,c
G19041171510,171,5,1,0.98,,0,a,89.85,,,b,36.875,
G19041171520,171,5,2,1.03,,0,a,,c,,b,,c
G19041171530,171,5,3,0.96,,0,a,,c,,b,,c
G19041171540,171,5,4,0.945,,63.55,,,c,,b,,c
G19041171610,171,6,1,0.99,,0,a,80.7,,,b,39.26,
G19041171620,171,6,2,1,,0,a,,c,,b,,c
G19041171630,171,6,3,1,,0,a,,c,,b,,c
G19041171640,171,6,4,0.635,,20.25,,,c,,b,,c
G19041178110,178,1,1,1.36,,1.9,,341.25,,3.3354,,66.18,
G19041178120,178,1,2,1.42,,1.45,,,c,,c,,c
G19041178130,178,1,3,1.485,,0.35,,,c,,c,,c
G19041178140,178,1,4,1.76,,6.4,,,c,,c,,c
G19041178210,178,2,1,0.91,,1,,69.25,,2.6081,,23.68,
G19041178220,178,2,2,0.9,,0.25,,,c,,c,,c
G19041178230,178,2,3,0.935,,1.6,,,c,,c,,c
G19041178240,178,2,4,0.905,,2.8,,,c,,c,,c
G19041178310,178,3,1,0.88,,0.8,,125.7,,2.1904,,16.905,
G19041178320,178,3,2,0.86,,4.05,,,c,,c,,c
G19041178330,178,3,3,1.41,,19.9,,,c,,c,,c
G19041178340,178,3,4,1.03,,62.65,,,c,,c,,c
G19041178410,178,4,1,1.095,,18.1,,41.75,,1.9467,,3.1855,
G19041178420,178,4,2,1.2,,30.05,,,c,,c,,c
G19041178430,178,4,3,1.005,,45.05,,,c,,c,,c
G19041178440,178,4,4,0.4,,147.85,,,c,,c,,c
G19041178510,178,5,1,0.82,,1.5,,113.65,,2.0608,,21.51,
G19041178520,178,5,2,0.985,,2.85,,,c,,c,,c
G19041178530,178,5,3,1.025,,2.2,,,c,,c,,c
G19041178540,178,5,4,0.89,,42.9,,,c,,c,,c
G19041178610,178,6,1,0.695,,1.95,,180.35,,2.56455,,81.38,
G19041178620,178,6,2,0.665,,0.2,,,c,,c,,c
G19041178630,178,6,3,0.695,,2,,,c,,c,,c
G19041178640,178,6,4,0.58,,3.15,,,c,,c,,c
G19041192110,192,1,1,0.13,,49.45,,218.45,,1.45605,,44.825,
G19041192120,192,1,2,0.14,,50.15,,,c,,c,,c
G19041192130,192,1,3,0.12,,53.7,,,c,,c,,c
G19041192140,192,1,4,0.24,,69.05,,,c,,c,,c
G19041192210,192,2,1,0,a,42.25,,229.15,,1.4474,,34.565,
G19041192220,192,2,2,0,a,42.5,,,c,,c,,c
G19041192230,192,2,3,0,a,42.95,,,c,,c,,c
G19041192240,192,2,4,0,a,120.45,,,c,,c,,c
G19041192310,192,3,1,0,a,40.35,,207.3,,1.60315,,36.84,
G19041192320,192,3,2,0,a,39.45,,,c,,c,,c
G19041192330,192,3,3,0,a,42.85,,,c,,c,,c
G19041192340,192,3,4,0.11,,230.25,,,c,,c,,c
G19041192410,192,4,1,0.2,,34.75,,224,,1.5865,,36.64,
G19041192420,192,4,2,0,a,34.1,,,c,,c,,c
G19041192430,192,4,3,0,a,34.25,,,c,,c,,c
G19041192440,192,4,4,0,a,460.9,,,c,,c,,c
G19041192510,192,5,1,0,a,46.75,,184.85,,1.5547,,20.55,
G19041192520,192,5,2,0.13,,46.85,,,c,,c,,c
G19041192530,192,5,3,0,a,42.75,,,c,,c,,c
G19041192540,192,5,4,0,a,74.45,,,c,,c,,c
G19041192610,192,6,1,0,a,65,,255.1,,1.25315,,33.8,
G19041192620,192,6,2,0,a,63.3,,,c,,c,,c
G19041192630,192,6,3,0,a,88.3,,,c,,c,,c
G19041192640,192,6,4,0,a,99.85,,,c,,c,,c
G19041199110,199,1,1,0.12,,94.7,,259.4,,1.1631,,17.1,
G19041199120,199,1,2,0.185,,94,,,c,,c,,c
G19041199130,199,1,3,0.145,,94.2,,,c,,c,,c
G19041199140,199,1,4,0.24,,94.35,,,c,,c,,c
G19041199210,199,2,1,0.27,,91.1,,254.9,,1.329,,22.09,
G19041199220,199,2,2,0.17,,90.35,,,c,,c,,c
G19041199230,199,2,3,0.24,,89.7,,,c,,c,,c
G19041199240,199,2,4,0.26,,89.25,,,c,,c,,c
G19041199310,199,3,1,0.235,,93.7,,262.65,,1.36685,,22.025,
G19041199320,199,3,2,0.3,,95.65,,,c,,c,,c
G19041199330,199,3,3,0.27,,105.15,,,c,,c,,c
G19041199340,199,3,4,0.195,,384.2,,,c,,c,,c
G19041199410,199,4,1,,b,98.55,,263.7,,1.4777,,20.615,
G19041199420,199,4,2,0.13,,104.6,,,c,,c,,c
G19041199430,199,4,3,0.25,,113.2,,,c,,c,,c
G19041199440,199,4,4,0.15,,515.75,,,c,,c,,c
G19041199510,199,5,1,0.24,,101.8,,271.9,,1.24885,,26.37,
G19041199520,199,5,2,0.215,,95.65,,,c,,c,,c
G19041199530,199,5,3,0.29,,100.6,,,c,,c,,c
G19041199540,199,5,4,0.22,,109.7,,,c,,c,,c
G19041199610,199,6,1,0.27,,98.2,,282.5,,1.25705,,21.595,
G19041199620,199,6,2,0.315,,102.55,,,c,,c,,c
G19041199630,199,6,3,0.185,,104.65,,,c,,c,,c
G19041199640,199,6,4,0.195,,102.4,,,c,,c,,c
G19041206110,206,1,1,0.146666667,,179.05,,348.45,,4.8452,,24.73,
G19041206120,206,1,2,0.046666667,,179.35,,,c,,c,,c
G19041206130,206,1,3,0.066666667,,180.15,,,c,,c,,c
G19041206140,206,1,4,0.033333333,,186.2,,,c,,c,,c
G19041206210,206,2,1,0,a,163.3,,332.95,,4.8012,,33.55,
G19041206220,206,2,2,0,a,164.85,,,c,,c,,c
G19041206230,206,2,3,0.05,,166.45,,,c,,c,,c
G19041206240,206,2,4,0,a,170.8,,,c,,c,,c
G19041206310,206,3,1,0,a,162.4,,314.65,,4.597,,36.995,
G19041206320,206,3,2,0.06,,163.8,,,c,,c,,c
G19041206330,206,3,3,0.05,,182.85,,,c,,c,,c
G19041206340,206,3,4,0.07,,200.7,,,c,,c,,c
G19041206410,206,4,1,0.036666667,,187.7,,313.55,,4.5804,,13.17,
G19041206420,206,4,2,0,a,185.05,,,c,,c,,c
G19041206430,206,4,3,0,a,293.95,,,c,,c,,c
G19041206440,206,4,4,0,a,863.05,,,c,,c,,c
G19041206510,206,5,1,0,a,169.65,,322.45,,4.8816,,24.165,
G19041206520,206,5,2,0,a,184.35,,,c,,c,,c
G19041206530,206,5,3,0.083333333,,167.55,,,c,,c,,c
G19041206540,206,5,4,0.053333333,,175.5,,,c,,c,,c
G19041206610,206,6,1,0.176666667,,172.9,,334.25,,4.354,,20.61,
G19041206620,206,6,2,0.036666667,,173.9,,,c,,c,,c
G19041206630,206,6,3,0.086666667,,171.6,,,c,,c,,c
G19041206640,206,6,4,0,a,152.8,,,c,,c,,c
G19041213110,213,1,1,0.3,,199.05,,386.4,,1.56995,,18.765,
G19041213120,213,1,2,0.175,,199.8,,,c,,c,,c
G19041213130,213,1,3,0.19,,205.55,,,c,,c,,c
G19041213140,213,1,4,0.17,,214.2,,,c,,c,,c
G19041213210,213,2,1,0.12,,190.15,,375,,1.8829,,20.01,
G19041213220,213,2,2,0.29,,191.4,,,c,,c,,c
G19041213230,213,2,3,0.295,,186.6,,,c,,c,,c
G19041213240,213,2,4,0.24,,192.05,,,c,,c,,c
G19041213310,213,3,1,0.145,,186.7,,360.75,,1.5778,,17.915,
G19041213320,213,3,2,0.215,,190.85,,,c,,c,,c
G19041213330,213,3,3,0.21,,190.8,,,c,,c,,c
G19041213340,213,3,4,0.16,,201.7,,,c,,c,,c
G19041213410,213,4,1,0.11,,208.55,,349.3,,1.4305,,14.95,
G19041213420,213,4,2,0.27,,198.8,,,c,,c,,c
G19041213430,213,4,3,0.115,,195.4,,,c,,c,,c
G19041213440,213,4,4,0.205,,334.75,,,c,,c,,c
G19041213510,213,5,1,0.215,,200.3,,367.4,,1.73615,,20.925,
G19041213520,213,5,2,0.18,,198.3,,,c,,c,,c
G19041213530,213,5,3,0.16,,198.05,,,c,,c,,c
G19041213540,213,5,4,0.12,,199.25,,,c,,c,,c
G19041213610,213,6,1,0.21,,193.8,,369.4,,1.62185,,22.87,
G19041213620,213,6,2,0.175,,197.15,,,c,,c,,c
G19041213630,213,6,3,0.215,,196.95,,,c,,c,,c
G19041213640,213,6,4,0.2075,,197.55,,,c,,c,,c
G19041220110,220,1,1,0,a,206.55,,370.85,,4.837,,22.455,
G19041220120,220,1,2,0,a,216.95,,,c,,c,,c
G19041220130,220,1,3,0.14,,212.95,,,c,,c,,c
G19041220140,220,1,4,0.1,,224.3,,,c,,c,,c
G19041220210,220,2,1,0,a,188.05,,352.9,,4.9774,,21.19,
G19041220220,220,2,2,0,a,188.9,,,c,,c,,c
G19041220230,220,2,3,0.19,,195.8,,,c,,c,,c
G19041220240,220,2,4,0.16,,208.8,,,c,,c,,c
G19041220310,220,3,1,0.11,,177,,324,,4.9527,,29.69,
G19041220320,220,3,2,0,a,176.15,,,c,,c,,c
G19041220330,220,3,3,0,a,209.9,,,c,,c,,c
G19041220340,220,3,4,0.11,,453.85,,,c,,c,,c
G19041220410,220,4,1,0,a,174.35,,334.45,,5.0797,,19.025,
G19041220420,220,4,2,0,a,176.25,,,c,,c,,c
G19041220430,220,4,3,0,a,238.9,,,c,,c,,c
G19041220440,220,4,4,0,a,882.25,,,c,,c,,c
G19041220510,220,5,1,0.12,,171.55,,328.45,,4.8852,,16.615,
G19041220520,220,5,2,0.14,,185.25,,,c,,c,,c
G19041220530,220,5,3,0,a,205.15,,,c,,c,,c
G19041220540,220,5,4,0,a,272.25,,,c,,c,,c
G19041220610,220,6,1,0,a,178.15,,341.65,,5.1511,,22.015,
G19041220620,220,6,2,0,a,177.6,,,c,,c,,c
G19041220630,220,6,3,0,a,211.2,,,c,,c,,c
G19041220640,220,6,4,0.11,,229.55,,,c,,c,,c
G19041227110,227,1,1,0.19,,234.15,,347.1,,4.59535,,7.48,
G19041227120,227,1,2,0,a,238.65,,,c,,c,,c
G19041227130,227,1,3,0.16,,248.65,,,c,,c,,c
G19041227140,227,1,4,0.22,,241.15,,,c,,c,,c
G19041227210,227,2,1,0.16,,219.8,,327.15,,4.54005,,9.06,
G19041227220,227,2,2,0.17,,227.15,,,c,,c,,c
G19041227230,227,2,3,0,a,227.2,,,c,,c,,c
G19041227240,227,2,4,0,a,225.15,,,c,,c,,c
G19041227310,227,3,1,0.12,,206.4,,294.45,,4.48125,,7.325,
G19041227320,227,3,2,0,a,212.3,,,c,,c,,c
G19041227330,227,3,3,0,a,207.75,,,c,,c,,c
G19041227340,227,3,4,0,a,273.05,,,c,,c,,c
G19041227410,227,4,1,0.21,,201.65,,306.65,,4.5582,,8.635,
G19041227420,227,4,2,0.28,,202.95,,,c,,c,,c
G19041227430,227,4,3,0.1,,218.4,,,c,,c,,c
G19041227440,227,4,4,0,a,589,,,c,,c,,c
G19041227510,227,5,1,0.21,,207.15,,298.05,,4.6433,,7.975,
G19041227520,227,5,2,0,a,203.35,,,c,,c,,c
G19041227530,227,5,3,0,a,210.25,,,c,,c,,c
G19041227540,227,5,4,0.15,,220.8,,,c,,c,,c
G19041227610,227,6,1,0,a,210.05,,318.4,,4.8409,,10.35,
G19041227620,227,6,2,0.13,,209.4,,,c,,c,,c
G19041227630,227,6,3,0,a,209.15,,,c,,c,,c
G19041227640,227,6,4,0,a,214.3,,,c,,c,,c
G19041234110,234,1,1,0,a,255.3,,374.8333333,,4.5184,,14.335,
G19041234120,234,1,2,0,a,255.55,,,c,,c,,c
G19041234130,234,1,3,0,a,256.75,,,c,,c,,c
G19041234140,234,1,4,0,a,256.8,,,c,,c,,c
G19041234210,234,2,1,0.19,,232.9,,352.8333333,,4.7893,,15.58,
G19041234220,234,2,2,0,a,232.9,,,c,,c,,c
G19041234230,234,2,3,0,a,232.5,,,c,,c,,c
G19041234240,234,2,4,0,a,234.65,,,c,,c,,c
G19041234310,234,3,1,0.19,,218.7,,348.1,,4.5358,,15.47,
G19041234320,234,3,2,0,a,219.8,,,c,,c,,c
G19041234330,234,3,3,0,a,219.75,,,c,,c,,c
G19041234340,234,3,4,0,a,254.25,,,c,,c,,c
G19041234410,234,4,1,0,a,216.55,,350.6333333,,4.5933,,15.755,
G19041234420,234,4,2,0.24,,218,,,c,,c,,c
G19041234430,234,4,3,0,a,221.8,,,c,,c,,c
G19041234440,234,4,4,0.19,,378.3,,,c,,c,,c
G19041234510,234,5,1,0,a,231.4,,366,,4.5261,,15.705,
G19041234520,234,5,2,0,a,229.4,,,c,,c,,c
G19041234530,234,5,3,0,a,232.35,,,c,,c,,c
G19041234540,234,5,4,0.11,,234.3,,,c,,c,,c
G19041234610,234,6,1,0,a,232.6,,409.0333333,,4.4484,,14.17,
G19041234620,234,6,2,0,a,230.65,,,c,,c,,c
G19041234630,234,6,3,0.11,,232.75,,,c,,c,,c
G19041234640,234,6,4,0,a,233.85,,,c,,c,,c
G19041245110,245,1,1,,c,,c,457.0333333,,5.5149,,,b
G19041245210,245,2,1,,c,,c,394.3333333,,5.4056,,,b
G19041245310,245,3,1,,c,,c,359.5666667,,5.0532,,,b
G19041245410,245,4,1,,c,,c,341.2333333,,4.4692,,9.33,
G19041245510,245,5,1,,c,,c,364.9,,4.8712,,,b
G19041245610,245,6,1,,c,,c,363.2333333,,4.9231,,,b
G19041273110,273,1,1,,c,,c,348.8333333,,2.991,,19.695,
G19041273610,273,6,1,,c,,c,280.4,,2.4969,,15.87,
G19041273210,273,2,1,,c,,c,313.1333333,,2.2622,,13.09,
G19041273310,273,3,1,,c,,c,277.7666667,,2.1986,,7.72,
G19041273410,273,4,1,,c,,c,252.3333333,,2.3348,,12.5075,
G19041273510,273,5,1,,c,,c,259.5,,2.1473,,10.355,
