year,lake_name,lake_id,lat,long,site_type,site_id,water_depth_m,trap_position,trap_depth_m,month,doy,duration_d,area_m2,volume_L,filter_g,volume_filtered_mL,dry_wt_g,ash_wt_g,TSS_mgL,ISS_mgL,VSS_mgL,data_flag
2018,Swan,114,42.039217,-94.842267,littoral,3,1.55,Top,0.55,July,199,7,0.002123,0.6472,0.0892,15,0.0927,0.0908,233.3,106.7,126.7,
2018,Swan,114,42.039217,-94.842267,littoral,3,1.55,Bottom,1.05,July,199,7,0.002123,0.6472,0.0877,15,0.0937,0.09,400,153.3,246.7,
2018,Swan,114,42.039217,-94.842267,littoral,3,1.55,Bottom,1.05,July,199,7,0.002123,0.6472,0.0881,15,0.094,0.0895,393.3,93.3,300,
2018,Swan,114,42.039,-94.8443,littoral,4,1.5,Bottom,1,May,131,11,0.002123,0.6472,0.0886,10,0.115,0.1137,2640,2510,130,
2018,Swan,114,42.039,-94.8443,littoral,4,1.5,Bottom,1,May,131,11,0.002123,0.6472,0.0882,10,0.1553,0.1518,6710,6360,350,
2018,Swan,114,42.039,-94.8443,littoral,4,1.5,Top,0.5,May,131,11,0.002123,0.6472,0.087,10,0.104,0.103,1700,1600,100,
2018,Swan,114,42.039,-94.8443,littoral,4,1.5,Top,0.5,May,131,11,0.002123,0.6472,0.0877,10,0.1096,0.1082,2190,2050,140,
2018,Swan,114,42.039,-94.8443,littoral,4,1.5,Top,0.5,May,142,15,0.002123,0.6472,0.0874,5,0.092,0.0895,920,420,500,
2018,Swan,114,42.039,-94.8443,littoral,4,1.5,Top,0.5,May,142,15,0.002123,0.6472,0.0875,5,0.0925,0.0901,1000,520,480,
2018,Swan,114,42.039,-94.8443,littoral,4,1.5,Bottom,1,May,142,15,0.002123,0.6472,0.0886,5,0.0946,0.0919,1200,660,540,
2018,Swan,114,42.039,-94.8443,littoral,4,1.5,Bottom,1,May,142,15,0.002123,0.6472,0.088,5,0.0937,0.0917,1140,740,400,
2018,Swan,114,42.039,-94.8443,littoral,4,1.5,Top,0.5,July,199,7,0.002123,0.6472,0.0875,15,0.093,0.0893,366.7,120,246.7,
2018,Swan,114,42.039,-94.8443,littoral,4,1.5,Top,0.5,July,199,7,0.002123,0.6472,0.0875,15,0.0921,0.0886,306.7,73.3,233.3,
2018,Swan,114,42.039,-94.8443,littoral,4,1.5,Bottom,1,July,199,7,0.002123,0.6472,0.0875,15,0.0912,0.089,246.7,100,146.7,
2018,Swan,114,42.039,-94.8443,littoral,4,1.5,Bottom,1,July,199,7,0.002123,0.6472,0.0881,15,0.0954,0.0918,486.7,246.7,240,
2018,Swan,114,42.038467,-94.8474,littoral,5,1.45,Bottom,0.95,May,131,11,0.002123,0.6472,0.0884,10,0.1138,0.1126,2540,2420,120,
2018,Swan,114,42.038467,-94.8474,littoral,5,1.45,Bottom,0.95,May,131,11,0.002123,0.6472,0.0882,10,0.101,0.1002,1280,1200,80,
2018,Swan,114,42.038467,-94.8474,littoral,5,1.45,Top,0.45,May,131,11,0.002123,0.6472,0.0866,10,0.1055,0.1047,1890,1810,80,
2018,Swan,114,42.038467,-94.8474,littoral,5,1.45,Top,0.45,May,131,11,0.002123,0.6472,0.085,50,0.1544,0.1513,1388,1326,62,
2018,Swan,114,42.038467,-94.8474,littoral,5,1.45,Top,0.45,May,142,15,0.002123,0.6472,0.089,5,0.0938,0.092,960,600,360,
2018,Swan,114,42.038467,-94.8474,littoral,5,1.45,Top,0.45,May,142,15,0.002123,0.6472,0.0887,5,0.0918,0.0908,620,420,200,
2018,Swan,114,42.038467,-94.8474,littoral,5,1.45,Bottom,0.95,May,142,15,0.002123,0.6472,0.0891,5,0.0926,0.0912,700,420,280,
2018,Swan,114,42.038467,-94.8474,littoral,5,1.45,Bottom,0.95,May,142,15,0.002123,0.6472,0.0895,5,0.0931,0.0923,720,560,160,
2018,Swan,114,42.038467,-94.8474,littoral,5,1.45,Top,0.45,July,199,7,0.002123,0.6472,0.0893,15,0.0921,0.0903,186.7,66.7,120,
2018,Swan,114,42.038467,-94.8474,littoral,5,1.45,Top,0.45,July,199,7,0.002123,0.6472,0.0897,15,0.0933,0.0915,240,120,120,
2018,Swan,114,42.038467,-94.8474,littoral,5,1.45,Bottom,0.95,July,199,7,0.002123,0.6472,0.0897,15,0.0946,0.0921,326.7,160,166.7,
2018,Swan,114,42.038467,-94.8474,littoral,5,1.45,Bottom,0.95,July,199,7,0.002123,0.6472,0.0865,15,0.0912,0.089,313.3,166.7,146.7,
2018,North Twin,90,42.475117,-94.640317,deep,7,3.5,Top,1.5,May,130,14,0.002123,0.6472,0.0881,10,0.0937,0.0932,560,510,50,
2018,North Twin,90,42.475117,-94.640317,deep,7,3.5,Top,1.5,May,130,14,0.002123,0.6472,0.0871,10,0.0938,0.093,670,590,80,
2018,North Twin,90,42.475117,-94.640317,deep,7,3.5,Bottom,2.5,May,130,14,0.002123,0.6472,0.0869,10,0.0953,0.0944,840,750,90,
2018,North Twin,90,42.475117,-94.640317,deep,7,3.5,Bottom,2.5,May,130,14,0.002123,0.6472,0.0889,10,0.0998,0.0989,1090,1000,90,
2018,North Twin,90,42.475117,-94.640317,deep,7,3.5,Bottom,2.5,July,197,10,0.002123,0.6472,0.0885,15,0.1006,0.0945,806.7,400,406.7,M
2018,North Twin,90,42.475117,-94.640317,deep,7,3.5,Bottom,2.5,July,197,10,0.002123,0.6472,0.087,15,0.0982,0.0921,746.7,340,406.7,M
2018,North Twin,90,42.47195,-94.640667,littoral,8,1.7,Bottom,1.2,May,130,14,0.002123,0.6472,0.0871,10,0.0957,0.0946,860,750,110,M
2018,North Twin,90,42.47195,-94.640667,littoral,8,1.7,Top,0.7,July,197,10,0.002123,0.6472,0.0867,15,0.1012,0.0952,966.7,566.7,400,
2018,North Twin,90,42.47195,-94.640667,littoral,8,1.7,Bottom,1.2,July,197,10,0.002123,0.6472,0.086,15,0.1047,0.0967,1246.7,713.3,533.3,
2018,North Twin,90,42.47195,-94.640667,littoral,8,1.7,Bottom,1.2,July,197,10,0.002123,0.6472,0.0886,15,0.1039,0.0971,1020,566.7,453.3,
2018,South Twin,406,42.45847,-94.6536,deep,10,1.4,Top,0.4,May,130,14,0.002123,0.6472,0.0874,10,0.2179,0.206,13050,11860,1190,
2018,South Twin,406,42.45847,-94.6536,deep,10,1.4,Top,0.4,May,130,14,0.002123,0.6472,0.0888,10,0.2074,0.196,11860,10720,1140,
2018,South Twin,406,42.45847,-94.6536,deep,10,1.4,Bottom,0.9,May,130,14,0.002123,0.6472,0.0875,10,0.2126,0.2043,12510,11680,830,
2018,South Twin,406,42.45847,-94.6536,deep,10,1.4,Bottom,0.9,May,130,14,0.002123,0.6472,0.0869,10,0.3377,0.324,25080,23710,1370,
2018,South Twin,406,42.45847,-94.6536,deep,10,1.4,Top,0.4,July,197,14,0.002123,0.6472,0.0872,5,0.1454,0.1297,11640,8500,3140,
2018,South Twin,406,42.45847,-94.6536,deep,10,1.4,Top,0.4,July,197,14,0.002123,0.6472,0.0875,5,0.1127,0.1052,5040,3540,1500,
2018,South Twin,406,42.45847,-94.6536,deep,10,1.4,Bottom,0.9,July,197,14,0.002123,0.6472,0.0873,5,0.1629,0.1431,15120,11160,3960,
2018,South Twin,406,42.45847,-94.6536,deep,10,1.4,Bottom,0.9,July,197,14,0.002123,0.6472,0.0901,5,0.1539,0.1366,12760,9300,3460,
2018,South Twin,406,42.457029,-94.654918,littoral,11,1,Top,0.4,May,130,14,0.002123,0.6472,0.0871,10,0.2271,0.2148,14000,12770,1230,
2018,South Twin,406,42.457029,-94.654918,littoral,11,1,Top,0.4,May,130,14,0.002123,0.6472,0.0871,10,0.1532,0.1469,6610,5980,630,
2018,South Twin,406,42.457029,-94.654918,littoral,11,1,Bottom,0.7,May,130,14,0.002123,0.6472,0.0883,10,0.1657,0.1606,7740,7230,510,
2018,South Twin,406,42.457029,-94.654918,littoral,11,1,Bottom,0.7,May,130,14,0.002123,0.6472,0.0878,10,0.1641,0.1591,7630,7130,500,
2018,South Twin,406,42.457029,-94.654918,littoral,11,1,Top,0.4,July,197,14,0.002123,0.6472,0.09,3,0.0981,0.0948,2700,1600,1100,
2018,South Twin,406,42.457029,-94.654918,littoral,11,1,Top,0.4,July,197,14,0.002123,0.6472,0.0881,3,0.0987,0.0948,3533.3,2233.3,1300,
2018,South Twin,406,42.457029,-94.654918,littoral,11,1,Bottom,0.7,July,197,14,0.002123,0.6472,0.0874,3,0.106,0.0996,6200,4066.7,2133.3,
2018,South Twin,406,42.457029,-94.654918,littoral,11,1,Bottom,0.7,July,197,14,0.002123,0.6472,0.0877,3,0.1122,0.1044,8166.7,5566.7,2600,
2018,Five Island,36,43.1545,-94.647983,deep,12,6.25,Top,1.25,May,135,15,0.002123,0.6472,0.0877,15,0.1204,0.1091,2180,1426.7,753.3,
2018,Five Island,36,43.1545,-94.647983,deep,12,6.25,Top,1.25,May,135,15,0.002123,0.6472,0.0892,15,0.1203,0.1091,2073.3,1326.7,746.7,
2018,Five Island,36,43.1545,-94.647983,deep,12,6.25,Bottom,3.75,May,135,15,0.002123,0.6472,0.0875,15,0.1161,0.1066,1906.7,1273.3,633.3,
2018,Five Island,36,43.1545,-94.647983,deep,12,6.25,Bottom,3.75,May,135,15,0.002123,0.6472,0.0885,15,0.1171,0.1071,1906.7,1240,666.7,
2018,Five Island,36,43.1545,-94.647983,deep,12,6.25,Top,1.25,July,198,7,0.002123,0.6472,0.0888,15,0.1313,0.1224,2833.3,2240,593.3,
2018,Five Island,36,43.1545,-94.647983,deep,12,6.25,Top,1.25,July,198,7,0.002123,0.6472,0.0883,15,0.131,0.1214,2846.7,2206.7,640,
2018,Five Island,36,43.1545,-94.647983,deep,12,6.25,Bottom,3.75,July,198,7,0.002123,0.6472,0.0891,15,0.1563,0.1424,4480,3553.3,926.7,
2018,Five Island,36,43.1545,-94.647983,deep,12,6.25,Bottom,3.75,July,198,7,0.002123,0.6472,0.0861,15,0.0925,0.0909,426.7,320,106.7,
2018,Five Island,36,43.158017,-94.642633,littoral,13,1.3,Top,0.5,May,135,15,0.002123,0.6472,0.0872,15,0.1134,0.1043,1746.7,1140,606.7,
2018,Five Island,36,43.158017,-94.642633,littoral,13,1.3,Top,0.5,May,135,15,0.002123,0.6472,0.088,15,0.1117,0.1029,1580,993.3,586.7,
2018,Five Island,36,43.158017,-94.642633,littoral,13,1.3,Bottom,0.9,May,135,15,0.002123,0.6472,0.0869,15,0.1149,0.1055,1866.7,1240,626.7,
2018,Five Island,36,43.158017,-94.642633,littoral,13,1.3,Bottom,0.9,May,135,15,0.002123,0.6472,0.0881,15,0.1039,0.0979,1053.3,653.3,400,
2018,Five Island,36,43.158017,-94.642633,littoral,13,1.3,Top,0.5,July,198,7,0.002123,0.6472,0.0875,15,0.1593,0.1439,4786.7,3760,1026.7,
2018,Five Island,36,43.158017,-94.642633,littoral,13,1.3,Top,0.5,July,198,7,0.002123,0.6472,0.0875,15,0.1542,0.1402,4446.7,3513.3,933.3,
2018,Five Island,36,43.158017,-94.642633,littoral,13,1.3,Bottom,0.9,July,198,7,0.002123,0.6472,0.0864,10,0.1516,0.1383,6520,5190,1330,
2018,Five Island,36,43.158017,-94.642633,littoral,13,1.3,Bottom,0.9,July,198,7,0.002123,0.6472,0.0859,10,0.1384,0.1272,5250,4130,1120,
2018,Five Island,36,43.160267,-94.647017,littoral,14,1.2,Top,0.4,May,135,15,0.002123,0.6472,0.0886,15,0.1216,0.1114,2200,1520,680,
2018,Five Island,36,43.160267,-94.647017,littoral,14,1.2,Top,0.4,May,135,15,0.002123,0.6472,0.0872,15,0.1252,0.1131,2533.3,1726.7,806.7,
2018,Five Island,36,43.160267,-94.647017,littoral,14,1.2,Bottom,0.8,May,135,15,0.002123,0.6472,0.0879,15,0.128,0.1166,2673.3,1913.3,760,
2018,Five Island,36,43.160267,-94.647017,littoral,14,1.2,Bottom,0.8,May,135,15,0.002123,0.6472,0.0879,15,0.1315,0.1187,2906.7,2053.3,853.3,
2018,Five Island,36,43.160267,-94.647017,littoral,14,1.2,Top,0.4,July,198,7,0.002123,0.6472,0.0887,10,0.1204,0.1131,3170,2440,730,
2018,Five Island,36,43.160267,-94.647017,littoral,14,1.2,Top,0.4,July,198,7,0.002123,0.6472,0.0865,10,0.1156,0.1096,2910,2310,600,
2018,Five Island,36,43.160267,-94.647017,littoral,14,1.2,Bottom,0.8,July,198,7,0.002123,0.6472,0.0859,10,0.1553,0.1419,6940,5600,1340,
2018,Center,19,43.412517,-95.135778,deep,16,4.5,Bottom,2.7,May,135,15,0.002123,0.6472,0.0875,15,0.091,0.0895,233.3,133.3,100,
2018,Center,19,43.412517,-95.135778,deep,16,4.5,Bottom,2.7,May,135,15,0.002123,0.6472,0.087,15,0.0908,0.0893,253.3,153.3,100,
2018,Center,19,43.412517,-95.135778,deep,16,4.5,Top,0.9,May,135,15,0.002123,0.6472,0.0879,15,0.0914,0.0897,233.3,120,113.3,
2018,Center,19,43.412517,-95.135778,deep,16,4.5,Top,0.9,May,135,15,0.002123,0.6472,0.0878,15,0.0913,0.0899,233.3,140,93.3,
2018,Center,19,43.412517,-95.135778,deep,16,4.5,Top,0.9,July,198,8,0.002123,0.6472,0.0854,15,0.0896,0.0875,280,140,140,
2018,Center,19,43.412517,-95.135778,deep,16,4.5,Top,0.9,July,198,8,0.002123,0.6472,0.087,15,0.091,0.0891,266.7,140,126.7,
2018,Center,19,43.412517,-95.135778,deep,16,4.5,Bottom,2.7,July,198,8,0.002123,0.6472,0.0883,15,0.093,0.0907,313.3,160,153.3,
2018,Center,19,43.412517,-95.135778,deep,16,4.5,Bottom,2.7,July,198,8,0.002123,0.6472,0.0873,15,0.0917,0.0896,293.3,153.3,140,
2018,Center,19,43.410967,-95.14205,littoral,17,1.5,Top,0.5,May,135,15,0.002123,0.6472,0.0874,15,0.0952,0.0924,520,333.3,186.7,
2018,Center,19,43.410967,-95.14205,littoral,17,1.5,Top,0.5,May,135,15,0.002123,0.6472,0.0867,15,0.0941,0.0913,493.3,306.7,186.7,
2018,Center,19,43.410967,-95.14205,littoral,17,1.5,Bottom,1,May,135,15,0.002123,0.6472,0.0877,15,0.096,0.0928,553.3,340,213.3,
2018,Center,19,43.410967,-95.14205,littoral,17,1.5,Bottom,1,May,135,15,0.002123,0.6472,0.0881,15,0.0993,0.0948,746.7,446.7,300,
2018,Center,19,43.410967,-95.14205,littoral,17,1.5,Top,0.5,July,198,8,0.002123,0.6472,0.0863,15,0.0926,0.0904,420,273.3,146.7,
2018,Center,19,43.410967,-95.14205,littoral,17,1.5,Top,0.5,July,198,8,0.002123,0.6472,0.0865,15,0.0929,0.0902,426.7,246.7,180,
2018,Center,19,43.410967,-95.14205,littoral,17,1.5,Bottom,1,July,198,8,0.002123,0.6472,0.0866,15,0.0957,0.0921,606.7,366.7,240,
2018,Center,19,43.410967,-95.14205,littoral,17,1.5,Bottom,1,July,198,8,0.002123,0.6472,0.0857,15,0.0955,0.0923,653.3,440,213.3,
2018,Center,19,43.410817,-95.141683,littoral,18,3.4,Top,1.4,May,135,15,0.002123,0.6472,0.0889,15,0.0917,0.0898,186.7,60,126.7,
2018,Center,19,43.410817,-95.141683,littoral,18,3.4,Top,1.4,May,135,15,0.002123,0.6472,0.0885,15,0.0946,0.0918,406.7,220,186.7,
2018,Center,19,43.410817,-95.141683,littoral,18,3.4,Bottom,2.4,May,135,15,0.002123,0.6472,0.0881,15,0.0954,0.0928,486.7,313.3,173.3,
2018,Center,19,43.410817,-95.141683,littoral,18,3.4,Bottom,2.4,May,135,15,0.002123,0.6472,0.0876,15,0.0951,0.0922,500,306.7,193.3,
2018,Center,19,43.410817,-95.141683,littoral,18,3.4,Top,1.4,July,198,8,0.002123,0.6472,0.089,15,0.0944,0.092,360,200,160,
2018,Center,19,43.410817,-95.141683,littoral,18,3.4,Top,1.4,July,198,8,0.002123,0.6472,0.0864,15,0.0926,0.0895,413.3,206.7,206.7,
2018,Center,19,43.410817,-95.141683,littoral,18,3.4,Bottom,2.4,July,198,8,0.002123,0.6472,0.0866,15,0.0931,0.0902,433.3,240,193.3,
2018,Center,19,43.410817,-95.141683,littoral,18,3.4,Bottom,2.4,July,198,8,0.002123,0.6472,0.0868,15,0.0953,0.0919,566.7,340,226.7,
2018,Silver,105,43.44145,-95.335267,deep,19,2.8,Top,0.8,July,199,7,0.002123,0.6472,0.0838,10,0.0994,0.0938,1560,1000,560,
2018,Silver,105,43.44145,-95.335267,deep,19,2.8,Top,0.8,July,199,7,0.002123,0.6472,0.0855,15,0.1073,0.1018,1453.3,1086.7,366.7,
2018,Silver,105,43.44145,-95.335267,deep,19,2.8,Bottom,1.8,July,199,7,0.002123,0.6472,0.0869,15,0.1077,0.102,1386.7,1006.7,380,
2018,Silver,105,43.44145,-95.335267,deep,19,2.8,Bottom,1.8,July,199,7,0.002123,0.6472,0.0853,15,0.1102,0.102,1660,1113.3,546.7,
2018,Silver,105,43.446283,-95.3469,littoral,20,2,Top,0.8,May,136,15,0.002123,0.6472,0.0885,15,0.0986,0.0958,673.3,486.7,186.7,
2018,Silver,105,43.446283,-95.3469,littoral,20,2,Top,0.8,May,136,15,0.002123,0.6472,0.0893,15,0.0997,0.0964,693.3,473.3,220,
2018,Silver,105,43.446283,-95.3469,littoral,20,2,Bottom,1.4,May,136,15,0.002123,0.6472,0.0879,15,0.1023,0.0989,960,733.3,226.7,
2018,Silver,105,43.446283,-95.3469,littoral,20,2,Bottom,1.4,May,136,15,0.002123,0.6472,0.0883,15,0.1031,0.0986,986.7,686.7,300,
2018,Silver,105,43.44865,-95.342033,littoral,21,2,Top,0.8,May,136,15,0.002123,0.6472,0.0892,15,0.1102,0.1053,1400,1073.3,326.7,
2018,Silver,105,43.44865,-95.342033,littoral,21,2,Top,0.8,May,136,15,0.002123,0.6472,0.089,15,0.1073,0.103,1220,933.3,286.7,
2018,Silver,105,43.44865,-95.342033,littoral,21,2,Bottom,1.4,May,136,15,0.002123,0.6472,0.089,15,0.1048,0.1018,1053.3,853.3,200,
2018,Silver,105,43.44865,-95.342033,littoral,21,2,Bottom,1.4,May,136,15,0.002123,0.6472,0.0892,15,0.1094,0.1041,1346.7,993.3,353.3,
2018,Silver,105,43.44865,-95.342033,littoral,21,2,Top,0.8,July,199,7,0.002123,0.6472,0.0891,15,0.1098,0.1048,1380,1046.7,333.3,
2018,Silver,105,43.44865,-95.342033,littoral,21,2,Top,0.8,July,199,7,0.002123,0.6472,0.0861,10,0.1051,0.1006,1900,1450,450,
2018,Silver,105,43.44865,-95.342033,littoral,21,2,Bottom,1.4,July,199,7,0.002123,0.6472,0.0879,15,0.1122,0.1072,1620,1286.7,333.3,
2018,Silver,105,43.44865,-95.342033,littoral,21,2,Bottom,1.4,July,199,7,0.002123,0.6472,0.0864,10,0.1086,0.1036,2220,1720,500,
2018,Storm,113,42.612967,-95.202317,deep,23,1.7,Top,0.7,May,136,15,0.002123,0.6472,0.0887,15,0.1038,0.1008,1006.7,806.7,200,
2018,Storm,113,42.612967,-95.202317,deep,23,1.7,Top,0.7,May,136,15,0.002123,0.6472,0.0882,15,0.1043,0.1014,1073.3,880,193.3,
2018,Storm,113,42.612967,-95.202317,deep,23,1.7,Bottom,1.2,May,136,15,0.002123,0.6472,0.0878,15,0.1045,0.1019,1113.3,940,173.3,
2018,Storm,113,42.612967,-95.202317,deep,23,1.7,Bottom,1.2,May,136,15,0.002123,0.6472,0.0867,15,0.103,0.0995,1086.7,853.3,233.3,
2018,Storm,113,42.612967,-95.202317,deep,23,1.7,Top,0.7,July,199,7,0.002123,0.6472,0.0863,15,0.1315,0.1234,3013.3,2473.3,540,
2018,Storm,113,42.612967,-95.202317,deep,23,1.7,Top,0.7,July,199,7,0.002123,0.6472,0.0881,15,0.1272,0.1213,2606.7,2213.3,393.3,
2018,Storm,113,42.612967,-95.202317,deep,23,1.7,Bottom,1.2,July,199,7,0.002123,0.6472,0.089,15,0.1363,0.1291,3153.3,2673.3,480,
2018,Storm,113,42.612967,-95.202317,deep,23,1.7,Bottom,1.2,July,199,7,0.002123,0.6472,0.0872,15,0.1246,0.1188,2493.3,2106.7,386.7,
2018,Storm,113,42.611717,-95.19315,littoral,24,1.4,Top,0.4,May,136,15,0.002123,0.6472,0.0893,15,0.1107,0.1064,1426.7,1140,286.7,
2018,Storm,113,42.611717,-95.19315,littoral,24,1.4,Top,0.4,May,136,15,0.002123,0.6472,0.0902,15,0.1113,0.1074,1406.7,1146.7,260,
2018,Storm,113,42.611717,-95.19315,littoral,24,1.4,Bottom,0.9,May,136,14,0.002123,0.6472,0.0872,15,0.1104,0.1043,1546.7,1140,406.7,
2018,Storm,113,42.611717,-95.19315,littoral,24,1.4,Bottom,0.9,May,136,14,0.002123,0.6472,0.0868,15,0.1186,0.1113,2120,1633.3,486.7,
2019,North Twin,90,42.475117,-94.640317,deep,7,3.5,Top,1.5,June,163,15,0.002123,0.6472,0.1151,5,0.1163,0.1152,240,20,220,
2019,North Twin,90,42.475117,-94.640317,deep,7,3.5,Bottom,2.5,June,163,15,0.002123,0.6472,0.1137,5,0.1154,0.1151,340,280,60,
