badNames,Lake,DATE,TIME,Depth (m),Temperature (Deg C),pH,DO (% Saturation),DO (mg/L),Specific Conductivity (uS/cm),Turbidity (NTU),TDS (mg/L)
(35) Eldred Sherwood Lake (Hancock),Eldred Sherwood Lake,9/22/2019,8:50:00 AM,1.5,22.89,7.61,61.05,5.24,438.61,4.81,285.1
(35) Eldred Sherwood Lake (Hancock),Eldred Sherwood Lake,9/22/2019,8:50:00 AM,2,21.98,7.41,27.97,2.44,455.31,4.5,296
(35) Eldred Sherwood Lake (Hancock),Eldred Sherwood Lake,9/22/2019,8:50:00 AM,2.5,19.51,7.21,15.06,1.38,485.29,5.65,315.5
(35) Eldred Sherwood Lake (Hancock),Eldred Sherwood Lake,9/22/2019,8:50:00 AM,3,18.17,6.95,11.06,1.04,606.4,8.61,394
(35) Eldred Sherwood Lake (Hancock),Eldred Sherwood Lake,9/22/2019,8:50:00 AM,3.5,16.26,6.78,8.08,0.79,683.13,7.27,444.06
(35) Eldred Sherwood Lake (Hancock),Eldred Sherwood Lake,9/22/2019,8:50:00 AM,4,15,6.73,5.01,0.5,733.55,6.66,476.88
(35) Eldred Sherwood Lake (Hancock),Eldred Sherwood Lake,9/22/2019,8:50:00 AM,4.5,14.15,6.69,3.86,0.4,759.2,6.9,493.43
(35) Eldred Sherwood Lake (Hancock),Eldred Sherwood Lake,9/22/2019,8:50:00 AM,5,12.19,6.66,3.24,0.35,812.1,7.34,528
(35) Eldred Sherwood Lake (Hancock),Eldred Sherwood Lake,9/22/2019,8:50:00 AM,5.5,11.82,6.61,2.7,0.29,862.26,9.25,560.38
(36) Five Island Lake (Palo Alto),Five Island Lake,9/4/2019,4:15:00 PM,0,25.22,8.73,144.43,11.88,394.7,31.21,256.57
(36) Five Island Lake (Palo Alto),Five Island Lake,9/4/2019,4:15:00 PM,0.5,23.84,8.75,156.93,13.23,401.38,31.15,261
(36) Five Island Lake (Palo Alto),Five Island Lake,9/4/2019,4:15:00 PM,1,22.72,8.62,144.03,12.4,393.27,30.33,255.56
(36) Five Island Lake (Palo Alto),Five Island Lake,9/4/2019,4:15:00 PM,1.5,22.17,8.48,117.98,10.26,385.93,21.6,251
(36) Five Island Lake (Palo Alto),Five Island Lake,9/4/2019,4:15:00 PM,2,21.75,8.4,93.39,8.19,391.47,23.83,254.46
(36) Five Island Lake (Palo Alto),Five Island Lake,9/4/2019,4:15:00 PM,2.5,21.58,8.37,84.8,7.46,393.34,25.79,255.78
(36) Five Island Lake (Palo Alto),Five Island Lake,9/4/2019,4:15:00 PM,3,21.43,8.38,87.61,7.74,391.26,26.22,254.36
(36) Five Island Lake (Palo Alto),Five Island Lake,9/4/2019,4:15:00 PM,3.5,21.39,8.41,89.32,7.9,390.5,28.17,254
(36) Five Island Lake (Palo Alto),Five Island Lake,9/4/2019,4:15:00 PM,4,21.34,8.41,88.7,7.85,391.06,27.2,254
(36) Five Island Lake (Palo Alto),Five Island Lake,9/4/2019,4:15:00 PM,4.5,21.31,8.4,86.78,7.68,391.8,27.13,255
(36) Five Island Lake (Palo Alto),Five Island Lake,9/4/2019,4:15:00 PM,5,21.28,8.39,85.3,7.55,392.33,29.36,255
(37) Fogle Lake S.W.A. (Ringgold),Fogle Lake S.W.A.,9/9/2019,7:11:00 AM,0,23.06,7.94,78.6,6.73,219.75,5.83,143
(37) Fogle Lake S.W.A. (Ringgold),Fogle Lake S.W.A.,9/9/2019,7:11:00 AM,0.5,23.06,7.89,71.44,6.12,219.54,6.49,143
(37) Fogle Lake S.W.A. (Ringgold),Fogle Lake S.W.A.,9/9/2019,7:11:00 AM,1,23.06,7.84,64.53,5.53,219.44,6.8,143
(37) Fogle Lake S.W.A. (Ringgold),Fogle Lake S.W.A.,9/9/2019,7:11:00 AM,1.5,23.06,7.75,62.53,5.36,219.4,6.7,143
(37) Fogle Lake S.W.A. (Ringgold),Fogle Lake S.W.A.,9/9/2019,7:11:00 AM,2,23.09,7.7,60.62,5.19,219.45,6.61,143
(37) Fogle Lake S.W.A. (Ringgold),Fogle Lake S.W.A.,9/9/2019,7:11:00 AM,2.5,23.06,7.66,46.38,3.97,220.23,7.03,143.17
(37) Fogle Lake S.W.A. (Ringgold),Fogle Lake S.W.A.,9/9/2019,7:11:00 AM,3,23.01,7.53,26.73,2.29,222.39,7.35,144.43
(37) Fogle Lake S.W.A. (Ringgold),Fogle Lake S.W.A.,9/9/2019,7:11:00 AM,3.5,22.52,7.45,16.21,1.4,228.11,6.27,148.29
(37) Fogle Lake S.W.A. (Ringgold),Fogle Lake S.W.A.,9/9/2019,7:11:00 AM,4,20.38,7.22,10.45,0.94,248.78,4.89,161.67
(37) Fogle Lake S.W.A. (Ringgold),Fogle Lake S.W.A.,9/9/2019,7:11:00 AM,4.5,18.77,7.03,8.82,0.82,279.9,4.38,182
(37) Fogle Lake S.W.A. (Ringgold),Fogle Lake S.W.A.,9/9/2019,7:11:00 AM,5,17.36,6.87,7.23,0.69,321.06,4.52,208.43
(37) Fogle Lake S.W.A. (Ringgold),Fogle Lake S.W.A.,9/9/2019,7:11:00 AM,5.5,15.67,6.81,5.51,0.54,361.93,5.21,235.14
(37) Fogle Lake S.W.A. (Ringgold),Fogle Lake S.W.A.,9/9/2019,7:11:00 AM,6,14.89,6.73,4.55,0.46,386,6.5,251
(37) Fogle Lake S.W.A. (Ringgold),Fogle Lake S.W.A.,9/9/2019,7:11:00 AM,6.5,14.7,6.66,3.9,0.4,404.9,8.86,263.17
(38) George Wyth Lake (Black Hawk),George Wyth Lake,9/23/2019,10:10:00 AM,0,21.89,7.84,70.43,6.16,413.43,16.95,269
(38) George Wyth Lake (Black Hawk),George Wyth Lake,9/23/2019,10:10:00 AM,0.5,21.89,7.82,69.72,6.1,413.62,17.14,269
(38) George Wyth Lake (Black Hawk),George Wyth Lake,9/23/2019,10:10:00 AM,1,21.89,7.83,68.59,6,413.79,16.7,269
(38) George Wyth Lake (Black Hawk),George Wyth Lake,9/23/2019,10:10:00 AM,1.5,21.89,7.81,66.06,5.78,414.14,16.15,269
(38) George Wyth Lake (Black Hawk),George Wyth Lake,9/23/2019,10:10:00 AM,2,21.84,7.78,59.96,5.25,414.61,15.7,269.43
(38) George Wyth Lake (Black Hawk),George Wyth Lake,9/23/2019,10:10:00 AM,2.5,21.78,7.65,45.33,3.97,418.4,12.22,272
(38) George Wyth Lake (Black Hawk),George Wyth Lake,9/23/2019,10:10:00 AM,3,21.65,7.52,18.99,1.67,425.23,8.26,276.36
(38) George Wyth Lake (Black Hawk),George Wyth Lake,9/23/2019,10:10:00 AM,3.5,21.47,7.45,7.95,0.7,429.07,7.81,278.93
(38) George Wyth Lake (Black Hawk),George Wyth Lake,9/23/2019,10:10:00 AM,4,20.71,7.32,4.92,0.44,440.68,6.16,286.53
(39) Green Belt Lake (Black Hawk),Green Belt Lake,9/25/2019,12:04:00 PM,0,22.39,7.88,98.33,8.52,638.67,7.75,415.14
(39) Green Belt Lake (Black Hawk),Green Belt Lake,9/25/2019,12:04:00 PM,0.5,22.57,7.94,96.06,8.29,758.66,6.48,493
(39) Green Belt Lake (Black Hawk),Green Belt Lake,9/25/2019,12:04:00 PM,1,22.62,7.96,94.42,8.14,758.98,3.94,493
(39) Green Belt Lake (Black Hawk),Green Belt Lake,9/25/2019,12:04:00 PM,1.5,22.67,7.97,93.2,8.03,759.4,3.75,494
(39) Green Belt Lake (Black Hawk),Green Belt Lake,9/25/2019,12:04:00 PM,2,22.67,7.98,92.32,7.95,759.8,3.7,494
(39) Green Belt Lake (Black Hawk),Green Belt Lake,9/25/2019,12:04:00 PM,2.5,22.67,8,91.42,7.88,760.32,3.76,494
(39) Green Belt Lake (Black Hawk),Green Belt Lake,9/25/2019,12:04:00 PM,3,22.67,8.01,89.52,7.71,761.28,4.04,494.83
(39) Green Belt Lake (Black Hawk),Green Belt Lake,9/25/2019,12:04:00 PM,3.5,22.64,7.91,81.28,7.01,763.14,4.78,496
(39) Green Belt Lake (Black Hawk),Green Belt Lake,9/25/2019,12:04:00 PM,4,22.58,7.84,69.3,5.98,765.15,5.36,497.5
(39) Green Belt Lake (Black Hawk),Green Belt Lake,9/25/2019,12:04:00 PM,4.5,22.48,7.76,49.6,4.29,767.22,5.74,498.6
(39) Green Belt Lake (Black Hawk),Green Belt Lake,9/25/2019,12:04:00 PM,5,22.29,7.63,34.15,2.96,769.38,9.63,500.25
(40) Green Castle Lake (Marshall),Green Castle Lake,9/18/2019,7:27:00 AM,0,23.78,8.82,101.36,8.56,278.65,-0.7,180.88
(40) Green Castle Lake (Marshall),Green Castle Lake,9/18/2019,7:27:00 AM,0.5,23.83,8.88,101.98,8.61,281.38,-0.68,183
(40) Green Castle Lake (Marshall),Green Castle Lake,9/18/2019,7:27:00 AM,1,23.83,8.9,102.59,8.66,280.93,-0.66,183
(40) Green Castle Lake (Marshall),Green Castle Lake,9/18/2019,7:27:00 AM,1.5,23.83,8.92,100.9,8.51,281.16,-0.65,183
(40) Green Castle Lake (Marshall),Green Castle Lake,9/18/2019,7:27:00 AM,2,23.41,8.69,72.09,6.13,286.51,-0.39,186.25
(40) Green Castle Lake (Marshall),Green Castle Lake,9/18/2019,7:27:00 AM,2.5,22.58,8.49,41.39,3.57,295.31,0.7,191.88
(40) Green Castle Lake (Marshall),Green Castle Lake,9/18/2019,7:27:00 AM,3,21.97,8.11,24.16,2.11,316.75,2.53,205.75
(40) Green Castle Lake (Marshall),Green Castle Lake,9/18/2019,7:27:00 AM,3.5,19.68,7.59,16.58,1.5,476.4,6.2,309.67
(40) Green Castle Lake (Marshall),Green Castle Lake,9/18/2019,7:27:00 AM,4,17.39,7.27,11.36,1.08,539.09,11.64,350.63
(40) Green Castle Lake (Marshall),Green Castle Lake,9/18/2019,7:27:00 AM,4.5,16.27,7.09,9.57,0.94,560.93,12.24,364.57
(40) Green Castle Lake (Marshall),Green Castle Lake,9/18/2019,7:27:00 AM,5,14.25,7,7.56,0.77,583.81,8.58,379.57
(40) Green Castle Lake (Marshall),Green Castle Lake,9/18/2019,7:27:00 AM,5.5,13.63,6.95,6.01,0.62,588.89,6.36,382.71
(40) Green Castle Lake (Marshall),Green Castle Lake,9/18/2019,7:27:00 AM,6,12.97,6.88,4.81,0.5,641.66,6.59,416.88
(40) Green Castle Lake (Marshall),Green Castle Lake,9/18/2019,7:27:00 AM,6.5,12.12,6.78,3.95,0.42,725.01,11.1,471.25
(41) Green Valley Lake (Union),Green Valley Lake,9/8/2019,1:00:00 PM,0,22.94,8.83,73.4,6.3,192.63,29.33,125
(41) Green Valley Lake (Union),Green Valley Lake,9/8/2019,1:00:00 PM,0.5,22.94,8.82,72.7,6.24,192.55,29.19,125
(41) Green Valley Lake (Union),Green Valley Lake,9/8/2019,1:00:00 PM,1,23,8.81,71.36,6.12,192.43,30,125
(41) Green Valley Lake (Union),Green Valley Lake,9/8/2019,1:00:00 PM,1.5,23,8.79,69.66,5.97,192.4,31.27,125
(41) Green Valley Lake (Union),Green Valley Lake,9/8/2019,1:00:00 PM,2,23,8.77,68.85,5.91,192.4,26.54,125
(41) Green Valley Lake (Union),Green Valley Lake,9/8/2019,1:00:00 PM,2.5,23,8.77,68.38,5.87,192.4,31.02,125
(41) Green Valley Lake (Union),Green Valley Lake,9/8/2019,1:00:00 PM,3,22.96,8.76,67.62,5.8,192.48,30.55,125
(41) Green Valley Lake (Union),Green Valley Lake,9/8/2019,1:00:00 PM,3.5,22.94,8.75,63.08,5.41,192.78,27,125
(41) Green Valley Lake (Union),Green Valley Lake,9/8/2019,1:00:00 PM,4,22.9,8.72,61.02,5.24,193.12,23.99,125.8
(41) Green Valley Lake (Union),Green Valley Lake,9/8/2019,1:00:00 PM,4.5,22.89,8.7,57.08,4.9,193.46,27.74,126
(41) Green Valley Lake (Union),Green Valley Lake,9/8/2019,1:00:00 PM,5,22.88,8.67,55.37,4.76,193.95,24.86,126
(41) Green Valley Lake (Union),Green Valley Lake,9/8/2019,1:00:00 PM,5.5,22.8,8.45,48.23,4.15,195.11,28.6,126.71
(42) Greenfield Lake (Adair),Greenfield Lake,9/8/2019,10:45:00 AM,0,22.41,8.25,96.53,8.38,238.63,5.08,155
(42) Greenfield Lake (Adair),Greenfield Lake,9/8/2019,10:45:00 AM,0.5,22.67,8.25,94.57,8.16,238.37,5.86,155
(42) Greenfield Lake (Adair),Greenfield Lake,9/8/2019,10:45:00 AM,1,22.82,8.26,93.28,8.03,237.73,6.29,154.5
(42) Greenfield Lake (Adair),Greenfield Lake,9/8/2019,10:45:00 AM,1.5,23.13,8.28,91.98,7.87,236.28,7.25,153.5
(42) Greenfield Lake (Adair),Greenfield Lake,9/8/2019,10:45:00 AM,2,23.17,8.28,90.15,7.71,236.05,7.41,153
(42) Greenfield Lake (Adair),Greenfield Lake,9/8/2019,10:45:00 AM,2.5,23.17,8.29,89.05,7.61,236,7.43,153
(42) Greenfield Lake (Adair),Greenfield Lake,9/8/2019,10:45:00 AM,3,23.17,8.3,88.55,7.57,236.1,7.4,153
(42) Greenfield Lake (Adair),Greenfield Lake,9/8/2019,10:45:00 AM,3.5,23.17,8.3,88.03,7.52,236.28,7.42,154
(42) Greenfield Lake (Adair),Greenfield Lake,9/8/2019,10:45:00 AM,4,23.14,8.09,78.23,6.69,237.7,7.27,154.5
(42) Greenfield Lake (Adair),Greenfield Lake,9/8/2019,10:45:00 AM,4.5,22.92,7.84,50.42,4.33,244.76,6.3,159
(42) Greenfield Lake (Adair),Greenfield Lake,9/8/2019,10:45:00 AM,5,21.16,7.56,30.74,2.72,269.6,5.15,175
(42) Greenfield Lake (Adair),Greenfield Lake,9/8/2019,10:45:00 AM,5.5,20.5,7.29,17.93,1.61,341.21,4.45,221.67
(42) Greenfield Lake (Adair),Greenfield Lake,9/8/2019,10:45:00 AM,6,20.28,7.2,14.8,1.34,346.9,7.42,226
(43) Hannen Lake (Benton),Hannen Lake,9/15/2019,12:25:00 PM,0,23.41,8.39,97.28,8.27,251.06,17.25,163
(43) Hannen Lake (Benton),Hannen Lake,9/15/2019,12:25:00 PM,0.5,23.08,8.39,83.5,7.14,252.44,17.55,164.25
(43) Hannen Lake (Benton),Hannen Lake,9/15/2019,12:25:00 PM,1,22.64,8.35,68.64,5.92,254.34,16.17,165.22
(43) Hannen Lake (Benton),Hannen Lake,9/15/2019,12:25:00 PM,1.5,22.53,8.21,60.88,5.27,254.96,15.54,166
(43) Hannen Lake (Benton),Hannen Lake,9/15/2019,12:25:00 PM,2,22.48,8.2,55,4.76,255.4,15,166
(43) Hannen Lake (Benton),Hannen Lake,9/15/2019,12:25:00 PM,2.5,22.42,8.13,47.84,4.15,256.04,14.34,166.38
(43) Hannen Lake (Benton),Hannen Lake,9/15/2019,12:25:00 PM,3,22.32,7.91,30.74,2.67,258.61,12.42,168.14
(43) Hannen Lake (Benton),Hannen Lake,9/15/2019,12:25:00 PM,3.5,21.65,7.61,13.69,1.2,278.7,7.37,181.06
(43) Hannen Lake (Benton),Hannen Lake,9/15/2019,12:25:00 PM,4,20.4,7.18,6.78,0.61,362.57,8.56,235.67
(43) Hannen Lake (Benton),Hannen Lake,9/15/2019,12:25:00 PM,4.5,18.77,6.78,4.5,0.42,496.06,11.28,322.54
(43) Hannen Lake (Benton),Hannen Lake,9/15/2019,12:25:00 PM,5,17.12,6.65,3.35,0.32,582.19,12.54,378.5
(43) Hannen Lake (Benton),Hannen Lake,9/15/2019,12:25:00 PM,5.5,15.8,6.58,2.66,0.26,626.74,13.64,407.44
(43) Hannen Lake (Benton),Hannen Lake,9/15/2019,12:25:00 PM,6,15.36,6.5,2.25,0.23,662.7,15.37,431
(44) Hawthorne Lake (Mahaska),Hawthorne Lake,9/18/2019,12:45:00 PM,0,25.72,8.52,103.54,8.44,180.26,5.96,117.38
(44) Hawthorne Lake (Mahaska),Hawthorne Lake,9/18/2019,12:45:00 PM,0.5,25.37,8.55,106.16,8.7,204.31,7.38,133
(44) Hawthorne Lake (Mahaska),Hawthorne Lake,9/18/2019,12:45:00 PM,1,25.08,8.56,105.62,8.71,204.73,7.93,133
(44) Hawthorne Lake (Mahaska),Hawthorne Lake,9/18/2019,12:45:00 PM,1.5,24.72,8.45,95.42,7.92,205.3,7.95,133.33
(44) Hawthorne Lake (Mahaska),Hawthorne Lake,9/18/2019,12:45:00 PM,2,24.39,8.3,80.49,6.72,206.21,7.66,134
(44) Hawthorne Lake (Mahaska),Hawthorne Lake,9/18/2019,12:45:00 PM,2.5,24.21,8.1,61.56,5.16,207.34,7.24,135
(44) Hawthorne Lake (Mahaska),Hawthorne Lake,9/18/2019,12:45:00 PM,3,24.03,7.98,42.78,3.6,208.15,6.72,135
(44) Hawthorne Lake (Mahaska),Hawthorne Lake,9/18/2019,12:45:00 PM,3.5,23.62,7.85,25.03,2.12,209.01,5.59,136
(44) Hawthorne Lake (Mahaska),Hawthorne Lake,9/18/2019,12:45:00 PM,4,23.02,7.78,15.8,1.35,211.68,3.97,137.5
(44) Hawthorne Lake (Mahaska),Hawthorne Lake,9/18/2019,12:45:00 PM,4.5,22.54,7.64,9.73,0.84,217.54,3.15,141.29
(44) Hawthorne Lake (Mahaska),Hawthorne Lake,9/18/2019,12:45:00 PM,5,21.94,7.55,8.34,0.73,228.61,2.97,148.57
(44) Hawthorne Lake (Mahaska),Hawthorne Lake,9/18/2019,12:45:00 PM,5.5,20.04,7.34,7.11,0.65,268.36,3.06,174.29
(44) Hawthorne Lake (Mahaska),Hawthorne Lake,9/18/2019,12:45:00 PM,6,19,7.15,5.8,0.54,336.08,3.21,218.6
(44) Hawthorne Lake (Mahaska),Hawthorne Lake,9/18/2019,12:45:00 PM,6.5,17.89,7.05,4.83,0.46,362.07,3.43,235.33
(44) Hawthorne Lake (Mahaska),Hawthorne Lake,9/18/2019,12:45:00 PM,7,16.6,6.9,4.03,0.39,390.73,5.34,254
(46) Hooper Area Pond (Warren),Hooper Area Pond,8/27/2019,4:10:00 PM,0,23.8,7.71,77.78,6.57,237.25,4.84,154
(46) Hooper Area Pond (Warren),Hooper Area Pond,8/27/2019,4:10:00 PM,0.5,23.83,7.7,75.41,6.36,237.16,5.01,154
(46) Hooper Area Pond (Warren),Hooper Area Pond,8/27/2019,4:10:00 PM,1,23.79,7.68,68.23,5.76,237.2,5.12,154
(46) Hooper Area Pond (Warren),Hooper Area Pond,8/27/2019,4:10:00 PM,1.5,23.6,7.54,61.7,5.23,237.27,5.24,154
(46) Hooper Area Pond (Warren),Hooper Area Pond,8/27/2019,4:10:00 PM,2,23.28,7.5,55.45,4.73,237.76,5.77,154.5
(46) Hooper Area Pond (Warren),Hooper Area Pond,8/27/2019,4:10:00 PM,2.5,23.05,7.49,52.56,4.5,238.46,6.28,155
(46) Hooper Area Pond (Warren),Hooper Area Pond,8/27/2019,4:10:00 PM,3,22.9,7.43,44.74,3.84,239.19,6.42,155.43
(46) Hooper Area Pond (Warren),Hooper Area Pond,8/27/2019,4:10:00 PM,3.5,21.72,7.13,27.63,2.42,266.51,7.57,173.25
(46) Hooper Area Pond (Warren),Hooper Area Pond,8/27/2019,4:10:00 PM,4,19.69,6.93,16.02,1.46,343.86,9.08,223.6
(46) Hooper Area Pond (Warren),Hooper Area Pond,8/27/2019,4:10:00 PM,4.5,17.44,6.77,9.59,0.91,401.5,9.45,260.88
(46) Hooper Area Pond (Warren),Hooper Area Pond,8/27/2019,4:10:00 PM,5,16.53,6.71,7.9,0.77,475.2,10.99,308.75
(47) Indian Lake (Van Buren),Indian Lake,8/26/2019,11:57:00 AM,0,24.05,8.32,91.21,7.69,151.23,15.37,98.14
(47) Indian Lake (Van Buren),Indian Lake,8/26/2019,11:57:00 AM,0.5,24.94,7.95,73.68,6.09,257.26,13.65,167
(47) Indian Lake (Van Buren),Indian Lake,8/26/2019,11:57:00 AM,1,24.94,7.79,70.28,5.81,257.08,13.62,167
(47) Indian Lake (Van Buren),Indian Lake,8/26/2019,11:57:00 AM,1.5,24.92,7.75,64.83,5.36,257,13.87,167
(47) Indian Lake (Van Buren),Indian Lake,8/26/2019,11:57:00 AM,2,24.89,7.71,59.12,4.89,257.12,14.78,167
(48) Ingham Lake (Emmet),Ingham Lake,9/4/2019,2:30:00 PM,0,25.83,8.7,134.54,10.94,398.08,30.06,258.6
(48) Ingham Lake (Emmet),Ingham Lake,9/4/2019,2:30:00 PM,0.5,23.17,8.74,147.14,12.56,414.03,32.92,269.3
(48) Ingham Lake (Emmet),Ingham Lake,9/4/2019,2:30:00 PM,1,22.24,8.76,149.96,13.03,406.08,32.45,263.92
(48) Ingham Lake (Emmet),Ingham Lake,9/4/2019,2:30:00 PM,1.5,21.63,8.68,130.15,11.44,406.47,30.75,264.13
(48) Ingham Lake (Emmet),Ingham Lake,9/4/2019,2:30:00 PM,2,21.31,8.59,110.13,9.74,407.66,29.28,265.11
(48) Ingham Lake (Emmet),Ingham Lake,9/4/2019,2:30:00 PM,2.5,21.11,8.56,100.8,8.95,409.1,27.52,266
(49) Kent Park Lake (Johnson),Kent Park Lake,9/15/2019,2:05:00 PM,0,24.22,8.29,111.63,9.35,290.66,3.56,189
(49) Kent Park Lake (Johnson),Kent Park Lake,9/15/2019,2:05:00 PM,0.5,23.53,8.32,104.75,8.88,293.06,4.23,190.45
(49) Kent Park Lake (Johnson),Kent Park Lake,9/15/2019,2:05:00 PM,1,23.21,8.26,93.73,8,295.35,4.41,191.79
(49) Kent Park Lake (Johnson),Kent Park Lake,9/15/2019,2:05:00 PM,1.5,23.1,8.22,89.71,7.68,295.37,4.4,191.8
(49) Kent Park Lake (Johnson),Kent Park Lake,9/15/2019,2:05:00 PM,2,23.02,8.25,92.99,7.97,292.26,4.26,190
(49) Kent Park Lake (Johnson),Kent Park Lake,9/15/2019,2:05:00 PM,2.5,22.93,8.11,77.3,6.63,292.37,4.16,190.11
(49) Kent Park Lake (Johnson),Kent Park Lake,9/15/2019,2:05:00 PM,3,22.68,7.66,39.99,3.45,304.7,3.84,197.92
(49) Kent Park Lake (Johnson),Kent Park Lake,9/15/2019,2:05:00 PM,3.5,22.05,7.16,16.54,1.44,400.15,7.16,260.15
(49) Kent Park Lake (Johnson),Kent Park Lake,9/15/2019,2:05:00 PM,4,21.11,6.87,9.3,0.83,600.88,9.69,390.5
(49) Kent Park Lake (Johnson),Kent Park Lake,9/15/2019,2:05:00 PM,4.5,19.41,6.7,7.89,0.72,764.47,6.77,497
(49) Kent Park Lake (Johnson),Kent Park Lake,9/15/2019,2:05:00 PM,5,18.43,6.66,6.23,0.58,937.71,3.72,609.5
(49) Kent Park Lake (Johnson),Kent Park Lake,9/15/2019,2:05:00 PM,5.5,16.82,6.66,4.98,0.48,1097.28,6.19,713.2
(50) Lacey Keosauqua Park Lake (Van Buren),Lacey Keosauqua Park Lake,8/26/2019,12:50:00 PM,0,24.37,8.28,94.25,7.89,152.1,1.82,98.88
(50) Lacey Keosauqua Park Lake (Van Buren),Lacey Keosauqua Park Lake,8/26/2019,12:50:00 PM,0.5,24.89,8.1,88.5,7.32,237.06,0.99,154
(50) Lacey Keosauqua Park Lake (Van Buren),Lacey Keosauqua Park Lake,8/26/2019,12:50:00 PM,1,24.87,8.07,84.27,6.98,236.93,1.34,154
(50) Lacey Keosauqua Park Lake (Van Buren),Lacey Keosauqua Park Lake,8/26/2019,12:50:00 PM,1.5,24.83,8.03,82.69,6.85,236.98,1.61,154
(50) Lacey Keosauqua Park Lake (Van Buren),Lacey Keosauqua Park Lake,8/26/2019,12:50:00 PM,2,24.78,7.99,82.11,6.81,237.13,1.93,154
(50) Lacey Keosauqua Park Lake (Van Buren),Lacey Keosauqua Park Lake,8/26/2019,12:50:00 PM,2.5,24.73,7.93,80.55,6.68,237.43,2.41,154
(50) Lacey Keosauqua Park Lake (Van Buren),Lacey Keosauqua Park Lake,8/26/2019,12:50:00 PM,3,24.34,7.81,63.15,5.26,238.47,3.2,154.67
(50) Lacey Keosauqua Park Lake (Van Buren),Lacey Keosauqua Park Lake,8/26/2019,12:50:00 PM,3.5,20.81,7.63,34.9,3.1,246.82,4.68,160.33
(50) Lacey Keosauqua Park Lake (Van Buren),Lacey Keosauqua Park Lake,8/26/2019,12:50:00 PM,4,17.42,7.47,18.56,1.76,248.62,8.34,161.6
(50) Lacey Keosauqua Park Lake (Van Buren),Lacey Keosauqua Park Lake,8/26/2019,12:50:00 PM,4.5,15.42,7.31,13.55,1.34,245.5,12.94,159.5
(50) Lacey Keosauqua Park Lake (Van Buren),Lacey Keosauqua Park Lake,8/26/2019,12:50:00 PM,5,14.14,7.25,8.25,0.84,243.1,16.8,157.83
(50) Lacey Keosauqua Park Lake (Van Buren),Lacey Keosauqua Park Lake,8/26/2019,12:50:00 PM,5.5,13.54,7.19,6.1,0.63,244,17.57,158.57
(50) Lacey Keosauqua Park Lake (Van Buren),Lacey Keosauqua Park Lake,8/26/2019,12:50:00 PM,6,13.05,7.05,5.3,0.55,254.55,16.05,165.5
(50) Lacey Keosauqua Park Lake (Van Buren),Lacey Keosauqua Park Lake,8/26/2019,12:50:00 PM,6.5,12.58,7.02,4.42,0.47,268.16,14.93,174.2
(50) Lacey Keosauqua Park Lake (Van Buren),Lacey Keosauqua Park Lake,8/26/2019,12:50:00 PM,7,12.31,6.99,3.71,0.4,281.91,14.53,183.29
(50) Lacey Keosauqua Park Lake (Van Buren),Lacey Keosauqua Park Lake,8/26/2019,12:50:00 PM,7.5,12.17,6.8,3.4,0.36,389.6,15.06,253
(51) Lake Ahquabi (Warren),Lake Ahquabi,8/27/2019,3:30:00 PM,0,23.98,7.64,73.54,6.19,234.82,9.04,152.86
(51) Lake Ahquabi (Warren),Lake Ahquabi,8/27/2019,3:30:00 PM,0.5,24.01,7.61,63.44,5.33,234.74,4.33,153
(51) Lake Ahquabi (Warren),Lake Ahquabi,8/27/2019,3:30:00 PM,1,23.99,7.59,58,4.88,234.58,4.38,152.25
(51) Lake Ahquabi (Warren),Lake Ahquabi,8/27/2019,3:30:00 PM,1.5,23.94,7.57,56.39,4.75,234.5,4.46,152
(51) Lake Ahquabi (Warren),Lake Ahquabi,8/27/2019,3:30:00 PM,2,23.83,7.54,50.07,4.23,234.53,4.55,152
(51) Lake Ahquabi (Warren),Lake Ahquabi,8/27/2019,3:30:00 PM,2.5,23.69,7.5,46.1,3.9,234.69,4.69,152.88
(51) Lake Ahquabi (Warren),Lake Ahquabi,8/27/2019,3:30:00 PM,3,23.56,7.41,36.93,3.13,235.2,4.8,153
(51) Lake Ahquabi (Warren),Lake Ahquabi,8/27/2019,3:30:00 PM,3.5,23.39,7.32,23.96,2.04,238.34,5.27,154.88
(51) Lake Ahquabi (Warren),Lake Ahquabi,8/27/2019,3:30:00 PM,4,23.13,7.26,15.92,1.36,247.15,5.97,160.8
(51) Lake Ahquabi (Warren),Lake Ahquabi,8/27/2019,3:30:00 PM,4.5,22.06,7.06,9.11,0.79,270.94,5.94,176.38
(51) Lake Ahquabi (Warren),Lake Ahquabi,8/27/2019,3:30:00 PM,5,20.04,6.86,7.12,0.65,351.58,7.04,228.5
(52) Lake Anita (Cass),Lake Anita,9/8/2019,4:25:00 PM,0,22.92,8.09,90.43,7.77,248.65,12.96,162
(52) Lake Anita (Cass),Lake Anita,9/8/2019,4:25:00 PM,0.5,22.97,8.14,92.65,7.95,248.7,13.7,162
(52) Lake Anita (Cass),Lake Anita,9/8/2019,4:25:00 PM,1,23,8.22,93.8,8.04,248.53,14.05,162
(52) Lake Anita (Cass),Lake Anita,9/8/2019,4:25:00 PM,1.5,23.06,8.28,94.8,8.13,248.5,14.69,162
(52) Lake Anita (Cass),Lake Anita,9/8/2019,4:25:00 PM,2,23.06,8.3,95.93,8.22,248.55,14.66,162
