facilityID,siteID,name,county,huc8,type,aquifer,latitude,longitude,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark
6,10070001,Beaver Creek near Cedar Falls,Black Hawk,7080205,River/Stream,,42.5731702,-92.5067007,5/24/2004 13:45,TMDL,TSS,Total suspended solids,NonFilt,,91,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070001,Beaver Creek near Cedar Falls,Black Hawk,7080205,River/Stream,,42.5731702,-92.5067007,8/5/2004 14:27,TMDL,TSS,Total suspended solids,NonFilt,,580,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070001,Beaver Creek near Cedar Falls,Black Hawk,7080205,River/Stream,,42.5731702,-92.5067007,8/6/2004 8:46,TMDL,TSS,Total suspended solids,NonFilt,,270,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070002,Wolf Creek at La Porte City,Black Hawk,7080205,River/Stream,,42.3157478,-92.1937977,5/24/2004 14:50,TMDL,TSS,Total suspended solids,NonFilt,,600,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070002,Wolf Creek at La Porte City,Black Hawk,7080205,River/Stream,,42.3157478,-92.1937977,11/5/2003 3:44,TMDL,TSS,Total suspended solids,NonFilt,,570,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070002,Wolf Creek at La Porte City,Black Hawk,7080205,River/Stream,,42.3157478,-92.1937977,11/5/2003 7:24,TMDL,TSS,Total suspended solids,NonFilt,,570,mg/l,TRUE,1,,,I3765,UHL002,Actual,SW,Water,,
6,10070002,Wolf Creek at La Porte City,Black Hawk,7080205,River/Stream,,42.3157478,-92.1937977,6/16/2004 22:40,TMDL,TSS,Total suspended solids,NonFilt,,2200,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070002,Wolf Creek at La Porte City,Black Hawk,7080205,River/Stream,,42.3157478,-92.1937977,6/17/2004 5:40,TMDL,TSS,Total suspended solids,NonFilt,,1700,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070002,Wolf Creek at La Porte City,Black Hawk,7080205,River/Stream,,42.3157478,-92.1937977,6/17/2004 12:40,TMDL,TSS,Total suspended solids,NonFilt,,1600,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070002,Wolf Creek at La Porte City,Black Hawk,7080205,River/Stream,,42.3157478,-92.1937977,6/17/2004 19:40,TMDL,TSS,Total suspended solids,NonFilt,,1300,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
