Lake,Date,Time,Depth (m),Temperature (Deg C),pH,DO (% Saturation),DO (mg/L),Specific Conductivity (uS/cm),Turbidity (NTU),TDS (mg/L)
Badger Lake,7/9/2019,9:20 AM,0.5,23.17,8.09,150.66,12.85,663.29,4.91,431
Badger Lake,7/9/2019,9:20 AM,1,22.76,8.09,153.23,13.17,669.45,4.38,435
Badger Lake,7/9/2019,9:20 AM,1.5,20.64,7.78,130.82,11.69,696.9,4.18,452.8
Badger Lake,7/9/2019,9:20 AM,2,19.55,7.69,93.05,8.51,702.9,4.12,456.83
Badger Lake,7/9/2019,9:20 AM,2.5,18.86,7.61,57,5.29,697.38,4.11,453.38
Badger Lake,7/9/2019,9:20 AM,3,16.84,7.49,30.23,2.92,720.5,4.37,468.33
Badger Lake,7/9/2019,9:20 AM,3.5,16.48,7.48,14.38,1.4,723.48,5.37,470.4
Badger Lake,7/9/2019,9:20 AM,4,14.63,7.46,10.48,1.05,752.06,5.72,489
Badger Lake,7/9/2019,9:20 AM,4.5,14,7.32,9.03,0.93,762.03,5.68,495.33
Beaver Lake,7/31/2019,1:10 PM,0,26.75,9.51,122.3,9.79,201.08,28.17,130.83
Beaver Lake,7/31/2019,1:10 PM,0.5,26.68,9.52,123.75,9.91,201.24,29.18,131
Beaver Lake,7/31/2019,1:10 PM,1,26.23,9.52,120.74,9.74,201.29,29.49,131
Beaver Lake,7/31/2019,1:10 PM,1.5,25.91,9.43,99.78,8.1,200.64,31.39,130.4
Beaver Lake,7/31/2019,1:10 PM,2,25.67,9.21,70.52,5.75,199.84,34.17,130
Beaver Lake,7/31/2019,1:10 PM,2.5,25.4,9.18,54.78,4.49,199.4,34.56,130
Beaver Lake,7/31/2019,1:10 PM,3,25.2,9.16,47.67,3.92,199.6,34.58,130
Beaver Lake,7/31/2019,1:10 PM,3.5,25.07,9.14,40.97,3.38,200.2,34.68,130
Beaver Lake,7/31/2019,1:10 PM,4,24.92,8.91,26.06,2.16,201.78,35.53,131.2
Beaver Lake,7/31/2019,1:10 PM,4.5,24.24,8.52,13.28,1.11,225.35,35.51,146.5
Beaver Lake,7/31/2019,1:10 PM,5,21.49,7.8,7.45,0.66,324.57,22.04,211
Beaver Lake,7/31/2019,1:10 PM,5.5,19.09,7.48,4.84,0.44,351.8,18.41,228.71
Beaver Lake,7/31/2019,1:10 PM,6,16.51,7.38,4.07,0.4,362.45,16.54,235.67
Beaver Lake,7/31/2019,1:10 PM,6.5,14.91,7.34,3.32,0.33,355.37,14.84,231
Beaver Lake,7/31/2019,1:10 PM,7,13.96,7.31,2.56,0.26,347.49,14.11,225.86
Beaver Lake,7/31/2019,1:10 PM,7.5,12.67,7.2,2.1,0.22,356.96,13.71,232
Beaver Lake,7/31/2019,1:10 PM,8,12.24,7.17,1.8,0.19,367,13.12,238.6
Beaver Lake,7/31/2019,1:10 PM,8.5,11.03,7.15,1.58,0.17,387.74,12.62,252.2
Beaver Lake,7/31/2019,1:10 PM,9,10.31,7.13,1.42,0.16,409.92,12.32,266.5
Beaver Lake,7/31/2019,1:10 PM,9.5,10.1,7.03,1.28,0.14,429.18,12.44,278.8
Beaver Lake,7/31/2019,1:10 PM,10,9.77,6.94,1.14,0.13,453.99,12.69,295.14
Beaver Lake,7/31/2019,1:10 PM,10.5,9.4,6.9,1.03,0.12,479.87,13.05,312
Beaver Lake,7/31/2019,1:10 PM,11,9.2,6.77,0.94,0.11,497.08,14.03,323.2
Beeds Lake,8/13/2019,10:46 AM,0,25.28,7.99,95.37,7.83,406.43,9.05,264
Beeds Lake,8/13/2019,10:46 AM,0.5,25.22,7.91,97.32,8,461.22,5.16,300
Beeds Lake,8/13/2019,10:46 AM,1,25.17,7.87,98.05,8.07,460.74,4.26,299.5
Beeds Lake,8/13/2019,10:46 AM,1.5,25.13,7.84,99.08,8.16,458.83,4.57,298.3
Beeds Lake,8/13/2019,10:46 AM,2,25.11,7.84,101.59,8.37,456.56,5.26,296.7
Beeds Lake,8/13/2019,10:46 AM,2.5,25.11,7.86,104.96,8.65,455.08,5.34,295.92
Beeds Lake,8/13/2019,10:46 AM,3,25.04,7.82,100.23,8.26,456.11,5.5,296.3
Beeds Lake,8/13/2019,10:46 AM,3.5,23.63,7.61,39.7,3.34,538.75,3.97,350.09
Beeds Lake,8/13/2019,10:46 AM,4,21.43,7.46,16.55,1.45,599.22,2.36,389.45
Beeds Lake,8/13/2019,10:46 AM,4.5,19.05,7.36,9.86,0.91,658.4,2.84,428
Beeds Lake,8/13/2019,10:46 AM,5,17.27,7.17,6.63,0.64,691.77,5.78,449.67
Beeds Lake,8/13/2019,10:46 AM,5.5,15.38,7.06,4.41,0.44,720.06,7.34,468
Beeds Lake,8/13/2019,10:46 AM,6,14.44,6.95,3.47,0.35,739.16,7.35,480.4
Big Creek Lake,7/9/2019,3:55 PM,0,26.49,8.19,101.63,8.14,506.73,3.69,329.57
Big Creek Lake,7/9/2019,3:55 PM,0.5,26.19,8.2,106.8,8.62,510.97,3.21,332
Big Creek Lake,7/9/2019,3:55 PM,1,25.62,8.09,100.18,8.17,514.64,2.71,334.5
Big Creek Lake,7/9/2019,3:55 PM,1.5,24.77,7.85,69.78,5.77,524.27,3.13,340.83
Big Creek Lake,7/9/2019,3:55 PM,2,23.74,7.74,32.56,2.74,537.28,2.65,349.19
Big Creek Lake,7/9/2019,3:55 PM,2.5,23.17,7.71,17.7,1.51,544.2,1.97,353.67
Big Creek Lake,7/9/2019,3:55 PM,3,22.93,7.69,11.38,0.98,546.52,1.77,355.2
Big Creek Lake,7/9/2019,3:55 PM,3.5,22.57,7.66,8.92,0.77,550.68,1.5,358
Big Creek Lake,7/9/2019,3:55 PM,4,22.07,7.65,7.32,0.64,556.22,1.22,361.5
Big Creek Lake,7/9/2019,3:55 PM,4.5,21.54,7.64,5.19,0.45,560.66,0.83,364.29
Big Creek Lake,7/9/2019,3:55 PM,5,20.89,7.64,3.32,0.29,565.08,0.39,367.33
Big Creek Lake,7/9/2019,3:55 PM,5.5,20.35,7.66,2.55,0.23,568.93,0.2,369.75
Big Creek Lake,7/9/2019,3:55 PM,6,19.88,7.67,2.09,0.19,571.3,0.1,371.43
Big Creek Lake,7/9/2019,3:55 PM,6.5,19.33,7.69,1.71,0.16,571.73,-0.01,371.71
Big Creek Lake,7/9/2019,3:55 PM,7,18.86,7.7,1.47,0.14,569.3,-0.06,370
Big Creek Lake,7/9/2019,3:55 PM,7.5,18.44,7.71,1.29,0.12,567.41,-0.08,368.86
Big Creek Lake,7/9/2019,3:55 PM,8,18.22,7.71,1.2,0.11,566.1,-0.09,368
Big Creek Lake,7/9/2019,3:55 PM,8.5,18.08,7.71,1.1,0.11,564.6,-0.15,367
Big Creek Lake,7/9/2019,3:55 PM,9,17.71,7.71,0.97,0.09,561.07,-0.11,364.67
Big Creek Lake,7/9/2019,3:55 PM,9.5,17.17,7.7,0.84,0.08,556.76,-0.13,361.8
Big Creek Lake,7/9/2019,3:55 PM,10,16.5,7.69,0.72,0.07,551.76,-0.15,358.56
Big Creek Lake,7/9/2019,3:55 PM,10.5,15.92,7.67,0.61,0.06,547.16,-0.16,355.71
Big Creek Lake,7/9/2019,3:55 PM,11,15.59,7.66,0.6,0.06,544.43,-0.04,353.83
Big Creek Lake,7/9/2019,3:55 PM,11.5,15.3,7.65,0.54,0.05,542.14,0.03,352.4
Big Creek Lake,7/9/2019,3:55 PM,12,14.99,7.64,0.5,0.05,539.89,0.02,351.13
Big Creek Lake,7/9/2019,3:55 PM,12.5,14.68,7.62,0.4,0.04,539.2,-0.01,350.33
Big Creek Lake,7/9/2019,3:55 PM,13,14.36,7.59,0.36,0.04,538.3,0.11,349.9
Big Creek Lake,7/9/2019,3:55 PM,13.5,14.15,7.56,0.3,0.03,537.16,0.21,349
Big Creek Lake,7/9/2019,3:55 PM,14,13.97,7.54,0.3,0.03,536.78,0.44,349
Big Creek Lake,7/9/2019,3:55 PM,14.5,13.77,7.45,0.25,0.03,536.93,0.9,349
Big Creek Lake,7/9/2019,3:55 PM,15,13.56,7.22,0.2,0.02,540.06,9.64,351.11
Big Spirit Lake,7/22/2019,11:53 AM,0,24.33,8.41,105.38,8.81,349.5,6.1,227.2
Big Spirit Lake,7/22/2019,11:53 AM,0.5,24.39,8.41,106.3,8.88,402.55,7.71,262
Big Spirit Lake,7/22/2019,11:53 AM,1,24.39,8.41,106.7,8.91,402.6,8.38,262
Big Spirit Lake,7/22/2019,11:53 AM,1.5,24.39,8.41,107.13,8.94,402.6,8.18,262
Big Spirit Lake,7/22/2019,11:53 AM,2,24.3,8.4,107.46,8.99,402.92,7.9,262
Black Hawk Lake,7/8/2019,8:50 AM,0,27.3,8.51,133.97,10.61,406.87,12.37,264.33
Black Hawk Lake,7/8/2019,8:50 AM,0.5,27.33,8.51,134.36,10.63,408.5,10.53,265.67
Black Hawk Lake,7/8/2019,8:50 AM,1,27.33,8.5,133.3,10.55,409,10.43,266
Black Hawk Lake,7/8/2019,8:50 AM,1.5,27.3,8.48,129.58,10.26,410.16,10.14,266.53
Black Hawk Lake,7/8/2019,8:50 AM,2,27.25,8.45,124.64,9.88,411.87,10.96,267.77
Black Hawk Lake,7/8/2019,8:50 AM,2.5,27.22,8.44,122.95,9.75,412.4,13.26,268
Blue Lake,7/8/2019,11:50 AM,0,27.72,8.48,119.08,9.35,539.11,10.15,350.38
Blue Lake,7/8/2019,11:50 AM,0.5,27.7,8.45,127.29,10,538.2,10.18,350
Blue Lake,7/8/2019,11:50 AM,1,27.48,8.36,119.34,9.41,540.11,10.66,351.06
Blue Lake,7/8/2019,11:50 AM,1.5,27.02,8.03,80.65,6.41,547.54,11.47,355.91
Blue Lake,7/8/2019,11:50 AM,2,26.77,7.81,51.95,4.15,552.82,12.53,359.35
Blue Lake,7/8/2019,11:50 AM,2.5,26.38,7.58,13.88,1.12,561.59,18.75,365.08
Blue Lake,7/8/2019,11:50 AM,3,26.06,7.4,7.3,0.59,570.2,35.63,371
Bob White Lake,7/15/2019,11:40 AM,0,29.17,7.56,78.51,6.02,154.24,55.02,100.29
Bob White Lake,7/15/2019,11:40 AM,0.5,29.14,7.52,76.63,5.88,160,56.03,104
Bob White Lake,7/15/2019,11:40 AM,1,28.97,7.49,71.37,5.49,160.2,56.29,104
Bob White Lake,7/15/2019,11:40 AM,1.5,28.71,7.43,67.42,5.21,160.28,56.93,104
Bob White Lake,7/15/2019,11:40 AM,2,26.98,7.3,55.96,4.43,164.73,77.05,107
Briggs Woods Lake,8/13/2019,12:33 PM,0,26.54,8.8,108.7,8.73,257,11.25,167
Briggs Woods Lake,8/13/2019,12:33 PM,0.5,26.15,8.97,112.03,9.05,269.61,13.14,175
Briggs Woods Lake,8/13/2019,12:33 PM,1,25.92,9.01,108.96,8.84,269.79,13.28,175.13
Briggs Woods Lake,8/13/2019,12:33 PM,1.5,25.75,8.98,92.61,7.54,271.01,13.03,176.29
Briggs Woods Lake,8/13/2019,12:33 PM,2,25.59,8.83,75.64,6.18,273.8,12.83,177.9
Briggs Woods Lake,8/13/2019,12:33 PM,2.5,25.06,8.4,34.5,2.84,284.7,10.92,185
Briggs Woods Lake,8/13/2019,12:33 PM,3,22.73,8.06,17.84,1.53,318.29,7.09,206.75
Briggs Woods Lake,8/13/2019,12:33 PM,3.5,20.08,7.82,11.68,1.06,366.79,3.7,238.38
Briggs Woods Lake,8/13/2019,12:33 PM,4,17.62,7.63,8.79,0.83,411.33,2.59,267.4
Briggs Woods Lake,8/13/2019,12:33 PM,4.5,15.65,7.46,5.9,0.59,430.41,2.77,279.75
Briggs Woods Lake,8/13/2019,12:33 PM,5,14.22,7.38,4.33,0.44,438.88,2.91,285.11
Briggs Woods Lake,8/13/2019,12:33 PM,5.5,12.75,7.25,3.31,0.35,452.04,3.67,293.89
Briggs Woods Lake,8/13/2019,12:33 PM,6,11.99,7.17,2.6,0.28,466.34,4.86,303
Briggs Woods Lake,8/13/2019,12:33 PM,6.5,11.23,7.09,2.04,0.22,483.53,4.44,314.3
Briggs Woods Lake,8/13/2019,12:33 PM,7,10.49,6.97,1.65,0.18,507.23,4.37,329.82
Briggs Woods Lake,8/13/2019,12:33 PM,7.5,9.99,6.94,1.38,0.16,534.5,4.63,347.4
Briggs Woods Lake,8/13/2019,12:33 PM,8,9.68,6.89,1.15,0.13,559.32,4.92,363.6
Briggs Woods Lake,8/13/2019,12:33 PM,8.5,9.52,6.85,1,0.12,581.67,5.47,378
Browns Lake,7/8/2019,9:44 AM,0,26.79,8.03,92.56,7.4,430.13,16.25,279.6
Browns Lake,7/8/2019,9:44 AM,0.5,27.44,7.95,81.53,6.44,532.39,14.74,346
Browns Lake,7/8/2019,9:44 AM,1,27.43,7.92,78.87,6.23,532.24,14.9,346
Browns Lake,7/8/2019,9:44 AM,1.5,27.36,7.9,77.33,6.11,532.13,15.98,346
Browns Lake,7/8/2019,9:44 AM,2,27.33,7.88,74.82,5.92,532.21,30.22,346
Browns Lake,7/8/2019,9:44 AM,2.5,27.33,7.85,72.07,5.7,532.5,36.25,346
Brushy Creek Lake,7/9/2019,7:15 AM,0,22.91,7.77,98.7,8.47,626.08,1.27,407
Brushy Creek Lake,7/9/2019,7:15 AM,0.5,23.05,7.75,98.59,8.44,625.38,-0.27,406.45
Brushy Creek Lake,7/9/2019,7:15 AM,1,22.94,7.71,96.6,8.28,627.74,-0.47,407.95
Brushy Creek Lake,7/9/2019,7:15 AM,1.5,22.59,7.66,90.91,7.84,632.49,-0.37,411.1
Brushy Creek Lake,7/9/2019,7:15 AM,2,21.99,7.61,86.21,7.52,641.47,-0.3,417
Brushy Creek Lake,7/9/2019,7:15 AM,2.5,21.19,7.56,82.11,7.27,647.48,-0.19,420.89
Brushy Creek Lake,7/9/2019,7:15 AM,3,20.68,7.52,78.44,7.02,645.64,0.02,419.6
Brushy Creek Lake,7/9/2019,7:15 AM,3.5,20.26,7.5,73.55,6.64,645.47,0.08,419.67
Brushy Creek Lake,7/9/2019,7:15 AM,4,19.79,7.5,73.2,6.66,657.7,-0.14,427.25
Brushy Creek Lake,7/9/2019,7:15 AM,4.5,18.78,7.51,72.9,6.73,679.13,-0.36,441.5
Brushy Creek Lake,7/9/2019,7:15 AM,5,17.79,7.53,67.85,6.44,694.9,-0.59,451.5
Brushy Creek Lake,7/9/2019,7:15 AM,5.5,17.43,7.54,62,5.92,691,-0.65,449
Brushy Creek Lake,7/9/2019,7:15 AM,6,16.98,7.55,57.23,5.52,680.23,-0.7,442
Brushy Creek Lake,7/9/2019,7:15 AM,6.5,16.42,7.55,52.09,5.08,668.14,-0.71,434.43
Brushy Creek Lake,7/9/2019,7:15 AM,7,15.25,7.54,50.95,5.07,672.55,-0.74,437.25
Brushy Creek Lake,7/9/2019,7:15 AM,7.5,14,7.55,50.71,5.21,673.7,-0.79,438
Brushy Creek Lake,7/9/2019,7:15 AM,8,13.51,7.56,50.66,5.26,659.62,-0.84,428.8
Brushy Creek Lake,7/9/2019,7:15 AM,8.5,12.31,7.58,50.38,5.37,665.38,-0.85,432.5
Brushy Creek Lake,7/9/2019,7:15 AM,9,11.66,7.59,47.6,5.16,664.6,-0.86,432
Brushy Creek Lake,7/9/2019,7:15 AM,9.5,11.44,7.6,42.6,4.64,656.32,-0.86,426.8
Brushy Creek Lake,7/9/2019,7:15 AM,10,11.08,7.6,40.92,4.49,649.85,-0.89,422.33
Brushy Creek Lake,7/9/2019,7:15 AM,10.5,10.39,7.6,39.48,4.4,647.3,-0.9,420.67
Brushy Creek Lake,7/9/2019,7:15 AM,11,9.77,7.6,35.06,3.97,644.44,-0.89,418.8
Brushy Creek Lake,7/9/2019,7:15 AM,11.5,9.22,7.6,33.18,3.8,640.9,-0.87,416.8
Brushy Creek Lake,7/9/2019,7:15 AM,12,8.4,7.57,32.5,3.8,637.29,-0.86,414.22
Brushy Creek Lake,7/9/2019,7:15 AM,12.5,7.72,7.55,31.72,3.77,635.32,-0.87,413
Brushy Creek Lake,7/9/2019,7:15 AM,13,7.36,7.53,30.72,3.68,635.74,-0.85,413.2
Brushy Creek Lake,7/9/2019,7:15 AM,13.5,6.89,7.52,25.34,3.07,640.17,-0.84,416.14
Brushy Creek Lake,7/9/2019,7:15 AM,14,6.36,7.49,18.77,2.31,649.47,-0.79,422
Brushy Creek Lake,7/9/2019,7:15 AM,14.5,5.95,7.46,12.79,1.59,659.53,-0.67,428.71
Brushy Creek Lake,7/9/2019,7:15 AM,15,5.63,7.43,6.65,0.83,669.43,-0.53,435.13
Brushy Creek Lake,7/9/2019,7:15 AM,15.5,5.37,7.4,4.98,0.63,678.47,-0.52,440.89
Brushy Creek Lake,7/9/2019,7:15 AM,16,5.17,7.36,3.67,0.47,685.23,-0.59,445.5
Brushy Creek Lake,7/9/2019,7:15 AM,16.5,5.05,7.37,2.67,0.34,690,-0.65,448.43
Brushy Creek Lake,7/9/2019,7:15 AM,17,4.94,7.37,1.96,0.25,694.81,-0.68,451.57
Brushy Creek Lake,7/9/2019,7:15 AM,17.5,4.83,7.37,1.49,0.19,699.03,-0.66,454.38
Brushy Creek Lake,7/9/2019,7:15 AM,18,4.76,7.37,1.17,0.15,702.92,-0.62,457
Brushy Creek Lake,7/9/2019,7:15 AM,18.5,4.7,7.37,0.98,0.13,706.92,-0.55,459.4
Brushy Creek Lake,7/9/2019,7:15 AM,19,4.67,7.36,0.86,0.11,710.62,-0.5,461.8
Brushy Creek Lake,7/9/2019,7:15 AM,19.5,4.61,7.35,0.64,0.08,718.47,8.59,466.96
Carter Lake,7/30/2019,9:58 AM,0,24.39,7.87,82.77,6.9,833.4,6.39,541.67
Carter Lake,7/30/2019,9:58 AM,0.5,24.78,7.86,76.95,6.38,828.4,10.12,538.5
Carter Lake,7/30/2019,9:58 AM,1,25.1,7.85,75.03,6.18,823.85,12.89,535.25
Carter Lake,7/30/2019,9:58 AM,1.5,25.08,7.84,73.54,6.05,824.2,12.84,535.89
Carter Lake,7/30/2019,9:58 AM,2,25.02,7.8,65.17,5.37,825.23,12.62,536.33
Carter Lake,7/30/2019,9:58 AM,2.5,24.88,7.65,46.66,3.86,829.69,11.89,539.25
Carter Lake,7/30/2019,9:58 AM,3,24.68,7.54,20,1.66,843.12,10.75,548
Carter Lake,7/30/2019,9:58 AM,3.5,24.11,7.39,9.44,0.79,854.42,11.43,555.33
Carter Lake,7/30/2019,9:58 AM,4,21.9,7.21,6.54,0.57,870.24,13.57,565.56
Casey Lake,8/12/2019,7:23 AM,0,26.18,8.83,103.71,8.39,180.15,13.35,116.9
Casey Lake,8/12/2019,7:23 AM,0.5,26.65,8.84,87.69,7.03,254.16,19.87,165.13
Casey Lake,8/12/2019,7:23 AM,1,26.55,8.43,28.2,2.26,258.79,15.25,168.29
Casey Lake,8/12/2019,7:23 AM,1.5,26.36,8.15,12.85,1.04,266.48,9.24,173.5
Casey Lake,8/12/2019,7:23 AM,2,26.09,7.87,7.8,0.63,275.22,6.17,178.8
Casey Lake,8/12/2019,7:23 AM,2.5,25.26,7.59,6.52,0.53,291.08,4.66,189.4
Casey Lake,8/12/2019,7:23 AM,3,22.67,7.28,5.68,0.49,327.68,4.32,213
Casey Lake,8/12/2019,7:23 AM,3.5,20.38,7.17,4.5,0.4,372.88,4.3,242.5
Casey Lake,8/12/2019,7:23 AM,4,18.9,7.09,3.41,0.31,405.46,4.01,263.57
Casey Lake,8/12/2019,7:23 AM,4.5,17.36,6.99,2.67,0.26,425,3.79,276.29
Casey Lake,8/12/2019,7:23 AM,5,16.72,6.96,2.24,0.22,434.48,3.94,282.44
Casey Lake,8/12/2019,7:23 AM,5.5,15.99,6.94,2,0.2,447.24,4.49,290.8
Casey Lake,8/12/2019,7:23 AM,6,14.76,6.79,1.87,0.19,465.83,5.4,303
Center Lake,7/22/2019,9:50 AM,0,24.73,8.11,78.82,6.54,503.98,9.81,327.6
Center Lake,7/22/2019,9:50 AM,0.5,24.9,8.12,77.32,6.4,503.24,10.63,327
Center Lake,7/22/2019,9:50 AM,1,25.09,8.13,73.7,6.07,501.82,10.83,326
Center Lake,7/22/2019,9:50 AM,1.5,25.11,8.14,73.2,6.03,502.04,10.56,326
Center Lake,7/22/2019,9:50 AM,2,25.17,8.15,72.93,6,502.16,10.09,326
Center Lake,7/22/2019,9:50 AM,2.5,25.12,8.14,69.24,5.7,502.75,10.55,327
Center Lake,7/22/2019,9:50 AM,3,25.03,8.11,65.84,5.43,503.43,10.83,327
Center Lake,7/22/2019,9:50 AM,3.5,24.94,8.08,64.87,5.36,503.69,10.69,327
Center Lake,7/22/2019,9:50 AM,4,24.85,8.07,63.9,5.29,503.8,11.58,327
Center Lake,7/22/2019,9:50 AM,4.5,24.83,8.06,63.3,5.24,503.83,14.68,327.67
Central Park Lake,8/7/2019,9:00 AM,0,27.11,8.27,107.77,8.56,362.13,1.41,235.33
Central Park Lake,8/7/2019,9:00 AM,0.5,27.21,8.28,108.45,8.61,362.4,1.44,235.75
Central Park Lake,8/7/2019,9:00 AM,1,27.5,8.29,108.6,8.57,360.72,1.5,234.4
Central Park Lake,8/7/2019,9:00 AM,1.5,27.59,8.31,108.6,8.56,360.44,1.51,234
Central Park Lake,8/7/2019,9:00 AM,2,27.58,8.33,108.45,8.54,360.67,1.54,234
Central Park Lake,8/7/2019,9:00 AM,2.5,27.55,8.3,101.23,7.98,361.49,1.52,235.14
