Lake,Date,Time,Depth (m),Temperature (Deg C),pH,DO (% Saturation),DO (mg/L),Specific Conductivity (uS/cm),Turbidity (NTU),TDS (mg/L)
Arbor Lake,8/6/2019,9:28 AM,0,26.33,7.89,81.75,6.59,488.1,12.38,317
Arbor Lake,8/6/2019,9:28 AM,0.5,26.34,7.87,79.5,6.4,488.58,12.6,317.8
Arbor Lake,8/6/2019,9:28 AM,1,26.39,7.84,75.52,6.08,488.82,13.11,318
Arbor Lake,8/6/2019,9:28 AM,1.5,26.39,7.81,73.45,5.91,489.19,13.22,318
Arbor Lake,8/6/2019,9:28 AM,2,26.31,7.64,45.93,3.7,490.93,12.67,319
Arbor Lake,8/6/2019,9:28 AM,2.5,25.93,7.56,18.19,1.47,495.65,12.42,322.13
Arbor Lake,8/6/2019,9:28 AM,3,24.24,7.33,8.28,0.69,543.66,13.66,353.38
Arbor Lake,8/6/2019,9:28 AM,3.5,21.01,7.05,5.28,0.47,1003.84,14.02,652.4
Arbor Lake,8/6/2019,9:28 AM,4,17.02,6.71,4.47,0.42,2281.72,13.7,1483.17
Arbor Lake,8/6/2019,9:28 AM,4.5,14.81,6.43,3.9,0.39,3630.2,15.03,2359.5
Arrowhead Pond,7/30/2019,7:35 AM,0,24.7,7.42,105.63,8.77,470.33,3.91,305.88
Arrowhead Pond,7/30/2019,7:35 AM,0.5,24.79,7.55,107.08,8.88,470.1,6.32,306
Arrowhead Pond,7/30/2019,7:35 AM,1,24.86,7.67,108.48,8.98,470.12,6.88,306
Arrowhead Pond,7/30/2019,7:35 AM,1.5,24.92,7.65,103.65,8.57,470.95,6.41,306.25
Arrowhead Pond,7/30/2019,7:35 AM,2,24.88,7.5,60.9,5.04,475.6,5.08,309
Arrowhead Pond,7/30/2019,7:35 AM,2.5,24.69,7.32,27.05,2.24,486.82,3.71,316.5
Arrowhead Pond,7/30/2019,7:35 AM,3,24.2,7.16,12.42,1.04,506.37,3.56,329.11
Arrowhead Pond,7/30/2019,7:35 AM,3.5,23.62,6.93,7.83,0.66,532.38,6.16,345.83
Arrowhead Lake,7/8/2019,9:55 AM,0,27.27,8.26,106.05,8.4,481.03,2.29,312.6
Arrowhead Lake,7/8/2019,9:55 AM,0.5,27.33,8.26,106.17,8.4,480.12,-0.36,312
Arrowhead Lake,7/8/2019,9:55 AM,1,27.31,8.26,106.33,8.42,479.77,-0.37,312
Arrowhead Lake,7/8/2019,9:55 AM,1.5,27.23,8.25,106.32,8.43,479.71,-0.36,312
Arrowhead Lake,7/8/2019,9:55 AM,2,27.17,8.24,105.76,8.39,479.67,-0.38,312
Arrowhead Lake,7/8/2019,9:55 AM,2.5,26.97,8.22,109.33,8.71,482.44,-0.07,313.5
Arrowhead Lake,7/8/2019,9:55 AM,3,25.76,8.15,119.53,9.72,495.2,0.61,321.84
Arrowhead Lake,7/8/2019,9:55 AM,3.5,24.18,7.85,79.88,6.68,509.47,0.62,331.23
Arrowhead Lake,7/8/2019,9:55 AM,4,21.91,7.59,27.85,2.42,526.43,0.43,342.2
Arrowhead Lake,7/8/2019,9:55 AM,4.5,21.03,7.54,10.56,0.94,524.79,0.94,341.22
Arrowhead Lake,7/8/2019,9:55 AM,5,18.97,7.49,5.06,0.47,538.27,1.99,349.93
Arrowhead Lake,7/8/2019,9:55 AM,5.5,17.5,7.36,2.86,0.27,546.54,7.28,355.25
Arrowhead Lake,7/8/2019,9:55 AM,6,16.31,7.27,2.13,0.21,555.8,13.51,361.5
Avenue of the Saints Pond,8/12/2019,4:52 PM,0,25.96,9.12,99.77,8.11,189.17,16.16,123
Avenue of the Saints Pond,8/12/2019,4:52 PM,0.5,26.03,9.12,98.04,7.95,189.36,18.25,123
Avenue of the Saints Pond,8/12/2019,4:52 PM,1,26.06,9.11,93.76,7.6,189.68,19.01,123
Avenue of the Saints Pond,8/12/2019,4:52 PM,1.5,26.01,9.1,87.74,7.11,189.78,14.5,123
Avenue of the Saints Pond,8/12/2019,4:52 PM,2,26,8.89,71.02,5.76,190.13,12.52,123.67
Avenue of the Saints Pond,8/12/2019,4:52 PM,2.5,25.94,8.46,38.98,3.16,191.72,9.21,124.5
Avenue of the Saints Pond,8/12/2019,4:52 PM,3,25.78,7.97,16.28,1.33,195.34,5.62,127
Avenue of the Saints Pond,8/12/2019,4:52 PM,3.5,25.43,7.58,7.76,0.64,200.78,3.96,130.4
Avenue of the Saints Pond,8/12/2019,4:52 PM,4,23.43,7.33,6.17,0.52,212.23,3.3,137.67
Avenue of the Saints Pond,8/12/2019,4:52 PM,4.5,20.14,6.92,5.15,0.47,246.75,2.91,160.33
Avenue of the Saints Pond,8/12/2019,4:52 PM,5,17.31,6.66,4.36,0.42,338.5,3.8,220
Avenue of the Saints Pond,8/12/2019,4:52 PM,5.5,15.97,6.58,3.34,0.33,382.86,223.78,249
Badger Creek Lake,7/17/2019,2:31 PM,0,26.97,8.68,93.1,7.42,235.6,14.88,153
Badger Creek Lake,7/17/2019,2:31 PM,0.5,27,8.7,86.36,6.88,235.63,17.47,153
Badger Creek Lake,7/17/2019,2:31 PM,1,27.02,8.7,82.51,6.57,236.56,18.14,153.69
Badger Creek Lake,7/17/2019,2:31 PM,1.5,27,8.68,75.96,6.05,238.85,14.11,155.27
Badger Creek Lake,7/17/2019,2:31 PM,2,26.95,8.64,71.27,5.68,241.47,13.91,156.9
Badger Creek Lake,7/17/2019,2:31 PM,2.5,26.8,8.58,62.79,5.02,246.41,12.71,160.18
Badger Creek Lake,7/17/2019,2:31 PM,3,26.37,8.4,53.13,4.27,252.35,11.6,164
Badger Creek Lake,7/17/2019,2:31 PM,3.5,24.47,7.88,27.43,2.29,278.86,10.05,181.13
Badger Creek Lake,7/17/2019,2:31 PM,4,23.89,7.58,12.55,1.06,311.31,7.85,202.36
Badger Creek Lake,7/17/2019,2:31 PM,4.5,21.74,7.32,7.11,0.62,346.24,6.34,225
Badger Creek Lake,7/17/2019,2:31 PM,5,20.82,7.15,4.76,0.43,377.91,6.2,245.79
Badger Creek Lake,7/17/2019,2:31 PM,5.5,20.35,7.05,3.2,0.29,393.04,6.44,255.44
Badger Creek Lake,7/17/2019,2:31 PM,6,20.05,7.03,2.53,0.23,399.81,6.31,259.78
Badger Lake,7/9/2019,9:20 AM,0,23.39,8.09,139.79,11.89,657.86,3.88,427.53
